"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"11","Phospholipase D signaling pathway","8/148","1.0368113277464964E-11","2.6391561069910816E-11","0","0","62.965079365079362","1592.5307985064196","GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1","Gluconeogenesis","kegg"
"12","Alcoholism","7/186","3.0435895584172275E-9","7.101708969640198E-9","0","0","40.74242869744193","798.96832590249448","GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","kegg"
"13","Long-term depression","5/60","1.2842854082470537E-8","2.7661531869936539E-8","0","0","86.229437229437224","1566.8301165171949","GRIA1;GRIA2;GRID2;GRIA3;GRM1","Gluconeogenesis","kegg"
"14","Dopaminergic synapse","6/132","1.5227136749626764E-8","3.0454273499253528E-8","0","0","47.25714285714286","850.63739378871389","GRIA1;GRIA2;GRIN2A;GRIN2B;GRIA3;GRIA4","Gluconeogenesis","kegg"
"15","Retrograde endocannabinoid signaling","6/148","3.0216826945313574E-8","5.6404743631252007E-8","0","0","41.898591549295773","725.46853530796579","GRIA1;GRIA2;GRM5;GRIA3;GRM1;GRIA4","Gluconeogenesis","kegg"
"16","Prion disease","7/273","4.3076850006195842E-8","7.5384487510842727E-8","0","0","27.29639889196676","462.95457111920342","GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","kegg"
"17","Huntington disease","7/306","9.3927238529269762E-8","1.547036869893855E-7","0","0","24.243091005104734","392.27128356841757","GRIA1;GRIA2;GRM5;GRIN2B;GRIA3;GRIN1;GRIA4","Gluconeogenesis","kegg"
"18","Amyotrophic lateral sclerosis","7/364","3.0486180993467109E-7","4.742294821205995E-7","0","0","20.244582043343652","303.73770890500936","GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","kegg"
"19","Calcium signaling pathway","6/240","5.2813720834799465E-7","7.7830746493388675E-7","0","0","25.307692307692307","365.7950999053445","GRM5;GRIN2A;GRIN2C;GRM1;GRIN2D;GRIN1","Gluconeogenesis","kegg"
"20","Alzheimer disease","6/369","6.380318243895711E-6","8.9324455414539946E-6","0","0","16.207438016528926","193.87811553182138","GRM5;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","kegg"
"21","Rap1 signaling pathway","3/210","2.4827750512871104E-3","3.3103667350494804E-3","0","0","12.455576559546314","74.713261046755107","GRIN2A;GRIN2B;GRIN1","Gluconeogenesis","kegg"
"22","Ras signaling pathway","3/232","3.2894759064182873E-3","4.1866056990778203E-3","0","0","11.246440098727929","64.296201989090207","GRIN2A;GRIN2B;GRIN1","Gluconeogenesis","kegg"
"23","Taste transduction","2/86","5.5543621266744211E-3","6.7618321542123388E-3","0","0","19.732142857142858","102.47240569174454","GRM4;GRM1","Gluconeogenesis","kegg"
"24","Gap junction","2/88","5.808010147143567E-3","6.7760118383341618E-3","0","0","19.271317829457363","99.21871235928316","GRM5;GRM1","Gluconeogenesis","kegg"
"25","Systemic lupus erythematosus","2/135","1.3220334980812759E-2","1.4806775178510291E-2","0","0","12.43170426065163","53.779541516860334","GRIN2A;GRIN2B","Gluconeogenesis","kegg"
"26","FoxO signaling pathway","1/131","0.15715057276342775","0.1692390783606145","0","0","6.1058461538461541","11.299178918513739","GRM1","Gluconeogenesis","kegg"
"27","Estrogen signaling pathway","1/137","0.16374735008097807","0.16981206675064392","0","0","5.8347058823529414","10.557495291482919","GRM1","Gluconeogenesis","kegg"
"28","Transcriptional misregulation in cancer","1/192","0.22194874604210998","0.22194874604210998","0","0","4.1430366492146593","6.236549516218437","GRIA3","Gluconeogenesis","kegg"
