Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Source_Sheet,Source_DB
Synaptic signaling pathways associated with autism spectrum disorder WP4539,8/50,1.2783914223732442E-15,1.3210044697856859E-14,0,0,210.92063492063491,7233.1379931454367,GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1,Gluconeogenesis,wikipathways
Disruption of postsynaptic signaling by CNV WP4875,6/33,2.8041563872999798E-12,2.1732212001574845E-11,0,0,221.63333333333333,5895.4285759300392,GRIN2A;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1,Gluconeogenesis,wikipathways
Vitamin D-sensitive calcium signaling in depression WP4698,6/41,1.13064944477534E-11,7.0100265576071081E-11,0,0,170.90571428571428,4307.7885620137758,GRM5;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,wikipathways
Phosphodiesterases in neuronal function WP4222,6/53,5.7138619479437547E-11,2.8349341802037167E-10,0,0,127.19361702127659,2999.9302538967586,GRIA1;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,wikipathways
PKC-gamma calcium signaling pathway in ataxia WP4760,5/22,6.4014642778793595E-11,2.8349341802037167E-10,0,0,279.50980392156862,6560.6287564142895,GRIA1;GRIA2;GRM1;GRIA3;GRIA4,Gluconeogenesis,wikipathways
Fragile X Syndrome  WP4549,7/121,1.4883718528670387E-10,5.767440929859775E-10,0,0,64.18282548476455,1452.3397657188127,GRIA1;GRIA2;GRM5;GRIN2A;GRIN2B;GRM1;GRIN1,Gluconeogenesis,wikipathways
NO/cGMP/PKG mediated Neuroprotection WP4008,5/47,3.6483350044331255E-9,1.2566487237491878E-8,0,0,112.99319727891157,2195.3442578016629,GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,wikipathways
MECP2 and Associated Rett Syndrome WP3584,5/72,3.255764346761215E-8,1.0092869474959767E-7,0,0,70.742714996446338,1219.6223520911738,GRIA1;GRID1;GRIA3;GRIN1;GRIA4,Gluconeogenesis,wikipathways
Alzheimer's disease WP2059,5/83,6.6913976952166351E-8,1.8857575322883245E-7,0,0,60.73260073260073,1003.2939381651508,GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,wikipathways
Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380,5/144,1.0508329221773858E-6,2.7146517156249133E-6,0,0,33.975676601575884,467.70669912941042,GRIA1;GRIA2;GRIN2B;GRIA3;GRIN1,Gluconeogenesis,wikipathways
MTHFR deficiency WP4288,3/25,4.4010050050353324E-6,1.0494704242776562E-5,0,0,118.29249011857708,1458.9814395139299,GRIN2A;GRIN2D;GRIN1,Gluconeogenesis,wikipathways
Splicing factor NOVA regulated synaptic proteins WP4148,3/42,2.1647377956110441E-5,4.7933479759958835E-5,0,0,66.672240802675589,716.10161780621377,GRIK2;GRIN2B;GRIN1,Gluconeogenesis,wikipathways
Ras signaling WP4223,3/184,1.7043384996781521E-3,3.4233391386729426E-3,0,0,14.263511890463608,90.923872241332589,GRIN2A;GRIN2B;GRIN1,Gluconeogenesis,wikipathways
Rett syndrome causing genes WP4312,2/48,1.7668847167344221E-3,3.4233391386729426E-3,0,0,36.10144927536232,228.83038390410115,GRIN2A;GRIN2B,Gluconeogenesis,wikipathways
Melanoma WP4685,2/68,3.5117758263918473E-3,6.4038265069498394E-3,0,0,25.136363636363637,142.06151318674151,GRM3;GRIN2A,Gluconeogenesis,wikipathways
"GPCRs, Other WP117",2/91,6.1982979638680012E-3,1.0674846493328225E-2,0,0,18.618913857677903,94.648886393878342,GRM8;GRM1,Gluconeogenesis,wikipathways
Serotonin and anxiety-related events WP3944,1/13,1.6773661823445914E-2,2.7367553501411755E-2,0,0,66.540000000000006,272.01188501169923,GRIN2D,Gluconeogenesis,wikipathways
ERK Pathway in Huntington's Disease WP3853,1/15,1.9330101754838777E-2,2.9961657720000104E-2,0,0,57.028571428571432,225.03997361391211,GRM1,Gluconeogenesis,wikipathways
Serotonin and anxiety WP3947,1/17,2.188015065344143E-2,3.2299270012223068E-2,0,0,49.895000000000003,190.70744238188936,GRM1,Gluconeogenesis,wikipathways
15q13.3 copy number variation syndrome WP4942,1/19,2.442382371261493E-2,3.4415387958684679E-2,0,0,44.346666666666664,164.6235293172426,GRM6,Gluconeogenesis,wikipathways
Purine metabolism and related disorders WP4224,1/22,2.8227411859507716E-2,3.8045642071510399E-2,0,0,38.005714285714284,135.5839309094672,GRM5,Gluconeogenesis,wikipathways
BDNF-TrkB Signaling WP3676,1/34,4.3299673200093314E-2,5.5507262602489178E-2,0,0,24.170909090909092,75.887232515870664,GRIN1,Gluconeogenesis,wikipathways
Sleep regulation WP3591,1/38,4.8273621231532039E-2,5.5507262602489178E-2,0,0,21.553513513513515,65.325897756806043,GRIN2A,Gluconeogenesis,wikipathways
Amyotrophic lateral sclerosis (ALS) WP2447,1/38,4.8273621231532039E-2,5.5507262602489178E-2,0,0,21.553513513513515,65.325897756806043,GRIA1,Gluconeogenesis,wikipathways
IL-18 signaling pathway WP4754,2/272,4.8345035169909928E-2,5.5507262602489178E-2,0,0,6.0814814814814815,18.423189812994789,GRM7;GRIN2B,Gluconeogenesis,wikipathways
3q29 copy number variation syndrome WP4906,1/63,7.8802053875780986E-2,8.7245131076757521E-2,0,0,12.846451612903225,32.64047260238857,GRIA1,Gluconeogenesis,wikipathways
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680,1/66,8.2401554194611037E-2,8.8084420001135935E-2,0,0,12.251692307692307,30.582073768584642,GRIA1,Gluconeogenesis,wikipathways
Spinal Cord Injury WP2431,1/118,0.14268546642654423,0.1474416486407624,0,0,6.7887179487179488,13.21839830149686,GRIN1,Gluconeogenesis,wikipathways
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706,1/158,0.18644734444168432,0.18644734444168432,0,0,5.0489171974522291,8.480193714632895,GRIN1,Gluconeogenesis,wikipathways
Pentose Phosphate Metabolism WP134,6/7,6.6123012864214628E-21,1.6530753216053657E-19,0,0,39980,1857684.9011896488,RPIA;G6PD;RPE;TALDO1;PGD;TKT,Gluconeogenesis,wikipathways
Metabolic reprogramming in colon cancer WP4290,5/42,3.9953554761101562E-12,4.9941943451376952E-11,0,0,674.12162162162167,17692.920957247978,RPIA;G6PD;TALDO1;TKT;PGD,Gluconeogenesis,wikipathways
Glutathione metabolism WP100,3/23,1.110748578776731E-7,9.2562381564727586E-7,0,0,499.27499999999998,7994.921264256981,G6PD;GPX1;GSR,Gluconeogenesis,wikipathways
Sulfation Biotransformation Reaction WP692,2/17,2.4394349832130377E-5,1.2197174916065188E-4,0,0,380.49523809523811,4041.3004289208102,G6PD;GSR,Gluconeogenesis,wikipathways
Cori Cycle WP1946,2/17,2.4394349832130377E-5,1.2197174916065188E-4,0,0,380.49523809523811,4041.3004289208102,G6PD;TALDO1,Gluconeogenesis,wikipathways
NRF2 pathway WP2884,3/146,3.099654486683811E-5,1.2915227027849213E-4,0,0,69.3986013986014,720.47093643361484,G6PD;GSR;PGD,Gluconeogenesis,wikipathways
Oxidative Stress WP408,2/33,9.4355619188798664E-5,3.3698435424570951E-4,0,0,183.963133640553,1705.0512168868192,GPX1;GSR,Gluconeogenesis,wikipathways
Vitamin D-sensitive calcium signaling in depression WP4698,2/41,1.4626426509152532E-4,4.5707582841101663E-4,0,0,146.16849816849816,1290.6818034038872,G6PD;GSR,Gluconeogenesis,wikipathways
One-carbon metabolism and related pathways WP3940,2/52,2.3591429006626741E-4,6.5531747240629831E-4,0,0,113.94857142857143,951.70325402274523,GPX1;GSR,Gluconeogenesis,wikipathways
Nuclear Receptors Meta-Pathway WP2882,3/319,3.1441969678247501E-4,7.8604924195618754E-4,0,0,31.13132911392405,251.06737802216946,G6PD;GSR;PGD,Gluconeogenesis,wikipathways
Selenium Micronutrient Network WP15,2/89,6.9072394340393231E-4,1.5698271440998462E-3,0,0,65.366174055829234,475.72000128280672,GPX1;GSR,Gluconeogenesis,wikipathways
VEGFA-VEGFR2 Signaling Pathway WP3888,3/432,7.6298796329304973E-4,1.5895582568605203E-3,0,0,22.799533799533801,163.66117078052136,GPX1;TKT;PGD,Gluconeogenesis,wikipathways
Thiamine metabolic pathways WP4297,1/9,4.0434660343014565E-3,7.7758962198104936E-3,0,0,312.234375,1720.6153032705638,TKT,Gluconeogenesis,wikipathways
Glycolysis in senescence WP5049,1/11,4.9400429229450454E-3,8.8215052195447247E-3,0,0,249.76249999999999,1326.3340991921912,G6PD,Gluconeogenesis,wikipathways
"NAD Metabolism in Oncogene-Induced Senescence and Mitochondrial Dysfunction-Associated Senescence WP5046",1/24,1.0750337464808102E-2,1.7917229108013504E-2,0,0,108.52173913043478,491.90930693624915,G6PD,Gluconeogenesis,wikipathways
Amyotrophic lateral sclerosis (ALS) WP2447,1/38,1.6973844995694702E-2,2.6521632805772972E-2,0,0,67.412162162162161,274.77747713172664,GPX1,Gluconeogenesis,wikipathways
ATM Signaling Network in Development and Disease  WP3878,1/45,2.0072530463390581E-2,2.9518427152044974E-2,0,0,56.667613636363633,221.47987353276542,G6PD,Gluconeogenesis,wikipathways
TYROBP causal network in microglia WP3945,1/61,2.7122663879516524E-2,3.6465232479136078E-2,0,0,41.522916666666667,149.78917144936761,GPX1,Gluconeogenesis,wikipathways
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680,1/66,2.9316565848365818E-2,3.6465232479136078E-2,0,0,38.319230769230771,135.25165407819361,GPX1,Gluconeogenesis,wikipathways
p53 transcriptional gene network WP4963,1/67,2.9754818181739934E-2,3.6465232479136078E-2,0,0,37.736742424242422,132.63575146396252,GPX1,Gluconeogenesis,wikipathways
Folate Metabolism WP176,1/69,3.0630795282474307E-2,3.6465232479136078E-2,0,0,36.623161764705884,127.65916393890298,GPX1,Gluconeogenesis,wikipathways
Amino Acid metabolism WP3925,1/91,4.0220252479191559E-2,4.5704832362717683E-2,0,0,27.640277777777779,88.818843426343989,GSR,Gluconeogenesis,wikipathways
Male infertility WP4673,1/146,6.3826012989552219E-2,6.937610107560023E-2,0,0,17.108620689655172,47.075985644775116,GPX1,Gluconeogenesis,wikipathways
Vitamin D Receptor Pathway WP2877,1/182,7.8996223307942537E-2,7.941448038936727E-2,0,0,13.680939226519337,34.72708369011773,G6PD,Gluconeogenesis,wikipathways
Metapathway biotransformation Phase I and II WP702,1/183,7.941448038936727E-2,7.941448038936727E-2,0,0,13.605082417582418,34.462688086504492,GSR,Gluconeogenesis,wikipathways
TCA Cycle (aka Krebs or citric acid cycle) WP78,13/18,5.5748370485765719E-39,1.7281994850587374E-37,0,0,10388.040000000001,915005.11023931392,FH;MDH2;IDH2;SDHC;SDHA;SDHB;CS;SUCLA2;OGDH;SUCLG2;SUCLG1;ACO2;DLD,Gluconeogenesis,wikipathways
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc) WP2453,11/16,2.7056167771152855E-32,4.1937060045286926E-31,0,0,6278.4857142857145,456366.75903496263,CS;FH;PDHA1;MDH1;IDH1;OGDH;SUCLG2;ACO1;DLAT;SDHA;DLD,Gluconeogenesis,wikipathways
Amino Acid metabolism WP3925,11/91,2.8653961180956066E-22,2.9609093220321268E-21,0,0,390.93214285714288,19391.862691719489,CS;FH;PDHA1;MDH1;MDH2;IDH1;OGDH;SUCLG1;ACO2;SDHA;DLD,Gluconeogenesis,wikipathways
Metabolic reprogramming in colon cancer WP4290,7/42,3.325768131563611E-15,2.5774703019617985E-14,0,0,362.67272727272729,12090.448174467574,FH;PDHA1;MDH2;IDH2;SUCLG2;ACO2;SDHB,Gluconeogenesis,wikipathways
Disorders of the Krebs cycle WP4236,4/7,1.6038105333121745E-11,9.9436253065354826E-11,0,0,1902.7619047619048,47295.151972418236,FH;SUCLA2;SUCLG2;SUCLG1,Gluconeogenesis,wikipathways
Glycolysis and Gluconeogenesis WP534,5/45,3.8423434562696263E-10,1.9852107857393068E-9,0,0,191.75,4157.0956049686365,PDHA1;MDH1;MDH2;DLAT;DLD,Gluconeogenesis,wikipathways
Mitochondrial CII Assembly WP4920,3/8,3.4176008683086065E-8,1.5135089559652402E-7,0,0,799.08,13737.577149046836,SDHC;SDHA;SDHB,Gluconeogenesis,wikipathways
TCA cycle in senescence WP5050,3/10,7.3152815006368097E-8,2.8346715814967638E-7,0,0,570.71428571428567,9377.2439048737961,FH;PDHA1;MDH1,Gluconeogenesis,wikipathways
Urea cycle and associated pathways WP4595,3/24,1.2242104658059254E-6,4.2167249377759651E-6,0,0,190.10476190476192,2587.9368897735044,FH;MDH1;MDH2,Gluconeogenesis,wikipathways
Fluoroacetic acid toxicity WP4966,2/6,1.1450402648511111E-5,3.549624821038445E-5,0,0,624.3125,7103.1065178402787,CS;ACO2,Gluconeogenesis,wikipathways
"Cerebral organic acidurias, including diseases WP4519",2/7,1.6022071431264729E-5,4.5153110397200604E-5,0,0,499.42500000000001,5514.4227735186505,MDH2;IDH2,Gluconeogenesis,wikipathways
Cytosine methylation WP3585,2/9,2.7437270887714988E-5,6.5427338270704967E-5,0,0,356.69642857142856,3746.5995382949022,IDH1;IDH2,Gluconeogenesis,wikipathways
Thiamine metabolic pathways WP4297,2/9,2.7437270887714988E-5,6.5427338270704967E-5,0,0,356.69642857142856,3746.5995382949022,PDHA1;OGDH,Gluconeogenesis,wikipathways
Electron Transport Chain (OXPHOS system in mitochondria) WP111,3/103,1.0232080283081646E-4,2.2656749198252216E-4,0,0,39.764000000000003,365.32767635514489,SDHC;SDHA;SDHB,Gluconeogenesis,wikipathways
"NAD Metabolism in Oncogene-Induced Senescence and Mitochondrial Dysfunction-Associated Senescence WP5046",2/24,2.0868016842799032E-4,4.3127234808451338E-4,0,0,113.40909090909091,961.1089042220101,MDH1;MDH2,Gluconeogenesis,wikipathways
Nonalcoholic fatty liver disease WP4396,3/155,3.4201218417955051E-4,6.6264860684787908E-4,0,0,26.092105263157894,208.23233025316819,SDHC;SDHA;SDHB,Gluconeogenesis,wikipathways
7q11.23 copy number variation syndrome WP4932,2/104,3.8807726279611551E-3,7.0767030274585764E-3,0,0,24.362745098039216,135.25516392567505,OGDH;DLD,Gluconeogenesis,wikipathways
Acetylcholine Synthesis WP528,1/7,6.2838777740325952E-3,1.0822233944167248E-2,0,0,195.84313725490196,992.87927206115364,PDHA1,Gluconeogenesis,wikipathways
Iron metabolism in placenta WP2007,1/12,1.0749534506708167E-2,1.753871419515543E-2,0,0,106.79679144385027,484.09840988752489,ACO1,Gluconeogenesis,wikipathways
