Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Source_Sheet,Source_DB
Purine metabolism,3/129,1.6684859274618911E-4,3.7220070689534493E-4,0,0,33.770408163265309,293.74932166565526,PKM;PKLR;PGM1,Gluconeogenesis,kegg
Insulin signaling pathway,3/137,1.9929076041466353E-4,4.1281657514466018E-4,0,0,31.741471215351812,270.46100411619,PKLR;HK2;HK1,Gluconeogenesis,kegg
Carbohydrate digestion and absorption,2/47,7.1874630037704445E-4,1.3027276694333931E-3,0,0,59.075555555555553,427.58899594765302,HK2;HK1,Gluconeogenesis,kegg
Pyruvate metabolism,2/47,7.1874630037704445E-4,1.3027276694333931E-3,0,0,59.075555555555553,427.58899594765302,PKM;PKLR,Gluconeogenesis,kegg
AMPK signaling pathway,2/120,4.5775015847456958E-3,7.4950732258765229E-3,0,0,22.44632768361582,120.90943213897548,PFKL;PFKM,Gluconeogenesis,kegg
Thyroid hormone signaling pathway,2/121,4.6521144160612902E-3,7.4950732258765229E-3,0,0,22.25658263305322,119.52749584638217,PFKL;PFKM,Gluconeogenesis,kegg
Shigellosis,2/246,1.8145310558352331E-2,2.7695474010116718E-2,0,0,10.786338797814208,43.246133282395348,HK2;HK1,Gluconeogenesis,kegg
Maturity onset diabetes of the young,1/26,2.188015065344143E-2,3.1726218447490073E-2,0,0,49.895000000000003,190.70744238188936,PKLR,Gluconeogenesis,kegg
"Glycine, serine and threonine metabolism",1/40,3.3474383104990776E-2,4.6226529049749165E-2,0,0,31.96153846153846,108.57254123777712,PGAM4,Gluconeogenesis,kegg
Inositol phosphate metabolism,1/73,6.0293950784224219E-2,7.9478389670113739E-2,0,0,17.283854166666668,48.542110579522607,TPI1,Gluconeogenesis,kegg
Non-alcoholic fatty liver disease,1/155,0.12393582001851285,0.15626690350160316,0,0,8.0474837662337659,16.803077119770684,PKLR,Gluconeogenesis,kegg
Pathogenic Escherichia coli infection,1/197,0.15493977178893165,0.17766254736475862,0,0,6.3096301020408161,11.765685914464035,GAPDH,Gluconeogenesis,kegg
Diabetic cardiomyopathy,1/203,0.15928366315461118,0.17766254736475862,0,0,6.1203589108910892,11.243519306184107,GAPDH,Gluconeogenesis,kegg
Viral carcinogenesis,1/203,0.15928366315461118,0.17766254736475862,0,0,6.1203589108910892,11.243519306184107,PKM,Gluconeogenesis,kegg
Salmonella infection,1/249,0.19189543678576401,0.20610991358470951,0,0,4.973538306451613,8.2103401899860859,GAPDH,Gluconeogenesis,kegg
Human papillomavirus infection,1/331,0.24709638779420101,0.25592125878685107,0,0,3.7221590909090909,5.2034919972731055,PKM,Gluconeogenesis,kegg
Alzheimer disease,1/369,0.27145562138777646,0.27145562138777646,0,0,3.3313519021739131,4.3439383334221482,GAPDH,Gluconeogenesis,kegg
Central carbon metabolism in cancer,5/70,5.6582857688413402E-11,1.5843200152755751E-9,0,0,383.19230769230768,9041.5432225481163,LDHB;LDHA;SLC2A1;SLC16A3;GLS,Gluconeogenesis,kegg
Glucagon signaling pathway,3/107,1.2215982179498698E-5,1.0343408050986165E-4,0,0,95.61057692307692,1081.6200311583434,LDHB;LDHA;SLC2A1,Gluconeogenesis,kegg
HIF-1 signaling pathway,3/109,1.2914801711522106E-5,1.0343408050986165E-4,0,0,93.797169811320757,1055.8875424616392,LDHB;LDHA;SLC2A1,Gluconeogenesis,kegg
Glutamatergic synapse,3/114,1.4776297215694522E-5,1.0343408050986165E-4,0,0,89.549549549549553,996.01362912671402,SLC1A3;GLUL;GLS,Gluconeogenesis,kegg
Arginine biosynthesis,2/22,4.1386405906523752E-5,2.3176387307653298E-4,0,0,285.3,2879.4068233054322,GLUL;GLS,Gluconeogenesis,kegg
Propanoate metabolism,2/34,1.0022949748932253E-4,4.6773765495017181E-4,0,0,178.20535714285714,1640.9234871537965,LDHB;LDHA,Gluconeogenesis,kegg
"Alanine, aspartate and glutamate metabolism",2/37,1.1890590002824753E-4,4.7562360011299011E-4,0,0,162.9061224489796,1472.2116476467231,GLUL;GLS,Gluconeogenesis,kegg
Pyruvate metabolism,2/47,1.9254963508295519E-4,6.7392372279034319E-4,0,0,126.64126984126985,1083.4358946139766,LDHB;LDHA,Gluconeogenesis,kegg
Cysteine and methionine metabolism,2/50,2.1804660985203623E-4,6.7836723065077943E-4,0,0,118.70833333333333,1000.8064198202925,LDHB;LDHA,Gluconeogenesis,kegg
Glycolysis / Gluconeogenesis,2/67,3.9199458726740105E-4,1.0975848443487229E-3,0,0,87.586813186813188,687.05395647589478,LDHB;LDHA,Gluconeogenesis,kegg
GABAergic synapse,2/89,6.9072394340393231E-4,1.7582064013918278E-3,0,0,65.366174055829234,475.72000128280672,GLUL;GLS,Gluconeogenesis,kegg
D-Glutamine and D-glutamate metabolism,1/5,2.24816055240216E-3,5.24570795560504E-3,0,0,624.59375,3808.5496634307242,GLS,Gluconeogenesis,kegg
Nitrogen metabolism,1/17,7.6254739654265415E-3,1.6424097771687934E-2,0,0,156.0546875,760.96335515960936,GLUL,Gluconeogenesis,kegg
Proximal tubule bicarbonate reclamation,1/23,1.0304464378507131E-2,2.0608928757014262E-2,0,0,113.46022727272727,519.10074055447171,GLS,Gluconeogenesis,kegg
Glyoxylate and dicarboxylate metabolism,1/30,1.3421829479327331E-2,2.5054081694744351E-2,0,0,86.043103448275858,370.92087702683546,GLUL,Gluconeogenesis,kegg
Adipocytokine signaling pathway,1/69,3.0630795282474307E-2,5.0450721641722387E-2,0,0,36.623161764705884,127.65916393890298,SLC2A1,Gluconeogenesis,kegg
Renal cell carcinoma,1/69,3.0630795282474307E-2,5.0450721641722387E-2,0,0,36.623161764705884,127.65916393890298,SLC2A1,Gluconeogenesis,kegg
Synaptic vesicle cycle,1/78,3.4563999521536423E-2,5.3766221477945547E-2,0,0,32.327922077922075,108.78160264941484,SLC1A3,Gluconeogenesis,kegg
Insulin secretion,1/86,3.8048266007532069E-2,5.5700685941666182E-2,0,0,29.273529411764706,95.692233477225784,SLC2A1,Gluconeogenesis,kegg
Bile secretion,1/90,3.9786204244047274E-2,5.5700685941666182E-2,0,0,27.952247191011235,90.12461522615385,SLC2A1,Gluconeogenesis,kegg
Insulin resistance,1/108,4.7572438567341321E-2,6.3429918089788428E-2,0,0,23.228971962616821,70.743873767188688,SLC2A1,Gluconeogenesis,kegg
Thyroid hormone signaling pathway,1/121,5.3160876149181691E-2,6.765929691714033E-2,0,0,20.698958333333334,60.739697372377059,SLC2A1,Gluconeogenesis,kegg
Necroptosis,1/159,6.9329571729623105E-2,8.4401217757802044E-2,0,0,15.690664556962025,41.876559557969401,GLUL,Gluconeogenesis,kegg
Diabetic cardiomyopathy,1/203,8.7744243721952803E-2,0.10236828434227828,0,0,12.245668316831683,29.797740052778707,SLC2A1,Gluconeogenesis,kegg
Human T-cell leukemia virus 1 infection,1/219,9.4359746489173127E-2,0.10568291606787392,0,0,11.337729357798166,26.764305493233458,SLC2A1,Gluconeogenesis,kegg
Huntington disease,1/306,0.12959081074079043,0.1360394717619009,0,0,8.0680327868852455,16.486003606054858,SLC1A3,Gluconeogenesis,kegg
MicroRNAs in cancer,1/310,0.13118091919897587,0.1360394717619009,0,0,7.9619741100323624,16.172185422589365,GLS,Gluconeogenesis,kegg
Pathways in cancer,1/531,0.21512272418387934,0.21512272418387934,0,0,4.589858490566038,7.0525314744408165,SLC2A1,Gluconeogenesis,kegg
Glutamatergic synapse,24/114,3.3103673075861E-53,9.2690284612410801E-52,0,0,2651.2,320370.87749837257,GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1;GRM3;GRM2;GRIN3B;GRM5;GRIN2A;GRIN3A;GRM4;GRM7;GRM6;GRM8;GRIA3;GRIA4,Gluconeogenesis,kegg
Neuroactive ligand-receptor interaction,26/341,4.0261739426540786E-47,5.6366435197157104E-46,0,0,511134,54603771.974538021,GRIA1;GRIA2;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GRM3;GRM2;GRM5;GRIN2A;GRM4;GRM7;GRM6;GRM8;GRIA3;GRIA4;GRID2;GRID1;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A,Gluconeogenesis,kegg
Nicotine addiction,11/40,3.4171031001404054E-24,3.189296226797712E-23,0,0,504.35632183908046,27252.010766267849,GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4,Gluconeogenesis,kegg
Amphetamine addiction,11/69,2.6432899449197139E-21,1.8503029614437997E-20,0,0,251.81149425287356,11931.398351502612,GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4,Gluconeogenesis,kegg
Cocaine addiction,10/49,1.5054405319176497E-20,8.4304669787388381E-20,0,0,319.47115384615387,14581.499291450133,GRM3;GRIA2;GRM2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,kegg
Spinocerebellar ataxia,11/143,1.1895243927332457E-17,5.5511138327551469E-17,0,0,110.23333333333333,4295.8363243055555,GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRM1;GRIN2D;GRIN1,Gluconeogenesis,kegg
Long-term potentiation,9/67,9.0674927975861916E-17,3.6269971190344766E-16,0,0,181.78904665314403,6715.1511839293444,GRIA1;GRIA2;GRM5;GRIN2A;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1,Gluconeogenesis,kegg
cAMP signaling pathway,11/216,1.2095684838971919E-15,4.233489693640172E-15,0,0,70.718373983739838,2429.0709685859565,GRIA1;GRIA2;GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4,Gluconeogenesis,kegg
Circadian entrainment,9/97,2.9620807843510728E-15,9.2153624402033378E-15,0,0,119.63502673796792,4002.1367203565646,GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRIN2D;GRIN1;GRIA4,Gluconeogenesis,kegg
Pathways of neurodegeneration,11/475,6.77100126733227E-12,1.8958803548530356E-11,0,0,30.834770114942529,793.02009273695762,GRIA1;GRIA2;GRM5;GRIN2A;GRIN2C;GRIN2B;GRIA3;GRM1;GRIN2D;GRIN1;GRIA4,Gluconeogenesis,kegg
Phospholipase D signaling pathway,8/148,1.0368113277464964E-11,2.6391561069910816E-11,0,0,62.965079365079362,1592.5307985064196,GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1,Gluconeogenesis,kegg
Alcoholism,7/186,3.0435895584172275E-9,7.101708969640198E-9,0,0,40.74242869744193,798.96832590249448,GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,kegg
Long-term depression,5/60,1.2842854082470537E-8,2.7661531869936539E-8,0,0,86.229437229437224,1566.8301165171949,GRIA1;GRIA2;GRID2;GRIA3;GRM1,Gluconeogenesis,kegg
Dopaminergic synapse,6/132,1.5227136749626764E-8,3.0454273499253528E-8,0,0,47.25714285714286,850.63739378871389,GRIA1;GRIA2;GRIN2A;GRIN2B;GRIA3;GRIA4,Gluconeogenesis,kegg
Retrograde endocannabinoid signaling,6/148,3.0216826945313574E-8,5.6404743631252007E-8,0,0,41.898591549295773,725.46853530796579,GRIA1;GRIA2;GRM5;GRIA3;GRM1;GRIA4,Gluconeogenesis,kegg
Prion disease,7/273,4.3076850006195842E-8,7.5384487510842727E-8,0,0,27.29639889196676,462.95457111920342,GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,kegg
Huntington disease,7/306,9.3927238529269762E-8,1.547036869893855E-7,0,0,24.243091005104734,392.27128356841757,GRIA1;GRIA2;GRM5;GRIN2B;GRIA3;GRIN1;GRIA4,Gluconeogenesis,kegg
Amyotrophic lateral sclerosis,7/364,3.0486180993467109E-7,4.742294821205995E-7,0,0,20.244582043343652,303.73770890500936,GRIA1;GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,kegg
Calcium signaling pathway,6/240,5.2813720834799465E-7,7.7830746493388675E-7,0,0,25.307692307692307,365.7950999053445,GRM5;GRIN2A;GRIN2C;GRM1;GRIN2D;GRIN1,Gluconeogenesis,kegg
Alzheimer disease,6/369,6.380318243895711E-6,8.9324455414539946E-6,0,0,16.207438016528926,193.87811553182138,GRM5;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1,Gluconeogenesis,kegg
Rap1 signaling pathway,3/210,2.4827750512871104E-3,3.3103667350494804E-3,0,0,12.455576559546314,74.713261046755107,GRIN2A;GRIN2B;GRIN1,Gluconeogenesis,kegg
Ras signaling pathway,3/232,3.2894759064182873E-3,4.1866056990778203E-3,0,0,11.246440098727929,64.296201989090207,GRIN2A;GRIN2B;GRIN1,Gluconeogenesis,kegg
Taste transduction,2/86,5.5543621266744211E-3,6.7618321542123388E-3,0,0,19.732142857142858,102.47240569174454,GRM4;GRM1,Gluconeogenesis,kegg
Gap junction,2/88,5.808010147143567E-3,6.7760118383341618E-3,0,0,19.271317829457363,99.21871235928316,GRM5;GRM1,Gluconeogenesis,kegg
Systemic lupus erythematosus,2/135,1.3220334980812759E-2,1.4806775178510291E-2,0,0,12.43170426065163,53.779541516860334,GRIN2A;GRIN2B,Gluconeogenesis,kegg
FoxO signaling pathway,1/131,0.15715057276342775,0.1692390783606145,0,0,6.1058461538461541,11.299178918513739,GRM1,Gluconeogenesis,kegg
Estrogen signaling pathway,1/137,0.16374735008097807,0.16981206675064392,0,0,5.8347058823529414,10.557495291482919,GRM1,Gluconeogenesis,kegg
Transcriptional misregulation in cancer,1/192,0.22194874604210998,0.22194874604210998,0,0,4.1430366492146593,6.236549516218437,GRIA3,Gluconeogenesis,kegg
Pentose phosphate pathway,6/30,5.5947766163723002E-16,5.5947766163723004E-15,0,0,1663.9166666666667,58435.96808533265,RPIA;G6PD;RPE;TALDO1;TKT;PGD,Gluconeogenesis,kegg
Glutathione metabolism,4/57,7.38785788259789E-9,3.6939289412989449E-8,0,0,300.95094339622642,5634.8333235346299,G6PD;GPX1;GSR;PGD,Gluconeogenesis,kegg
Thyroid hormone synthesis,2/75,4.9107034593234302E-4,1.6369011531078101E-3,0,0,77.956947162426616,593.9479909744274,GPX1;GSR,Gluconeogenesis,kegg
Diabetic cardiomyopathy,2/203,3.5214002681240811E-3,8.803500670310202E-3,0,0,28.130774697938875,158.90783656283671,G6PD;GSR,Gluconeogenesis,kegg
Pentose and glucuronate interconversions,1/34,1.519926045554118E-2,3.0398520911082361E-2,0,0,75.598484848484844,316.49369990079617,RPE,Gluconeogenesis,kegg
Arachidonic acid metabolism,1/61,2.7122663879516524E-2,4.4383600243343743E-2,0,0,41.522916666666667,149.78917144936761,GPX1,Gluconeogenesis,kegg
Central carbon metabolism in cancer,1/70,3.1068520170340619E-2,4.4383600243343743E-2,0,0,36.090579710144929,125.29061959707016,G6PD,Gluconeogenesis,kegg
Huntington disease,1/306,0.12959081074079043,0.16198851342598802,0,0,8.0680327868852455,16.486003606054858,GPX1,Gluconeogenesis,kegg
Amyotrophic lateral sclerosis,1/364,0.15239609909595578,0.16932899899550644,0,0,6.7589531680440773,12.715430916082402,GPX1,Gluconeogenesis,kegg
Pathways of neurodegeneration,1/475,0.1945647713561883,0.1945647713561883,0,0,5.1468881856540083,8.4254052974273321,GPX1,Gluconeogenesis,kegg
Citrate cycle (TCA cycle),18/30,2.113213639663194E-54,6.1283195550232626E-53,0,0,359460,44426159.317120828,FH;PDHA1;MDH1;MDH2;IDH1;IDH2;SDHC;SDHA;SDHB;CS;SUCLA2;OGDH;SUCLG2;SUCLG1;ACO1;ACO2;DLAT;DLD,Gluconeogenesis,kegg
Glyoxylate and dicarboxylate metabolism,6/30,1.2252452780772944E-13,1.7766056532120768E-12,0,0,415.79166666666669,12361.679658806272,CS;MDH1;MDH2;ACO1;ACO2;DLD,Gluconeogenesis,kegg
Pyruvate metabolism,6/47,2.1965337414058619E-12,2.1233159500256664E-11,0,0,243.1829268292683,6528.0366720706124,FH;PDHA1;MDH1;MDH2;DLAT;DLD,Gluconeogenesis,kegg
Propanoate metabolism,4/34,2.0934843115650383E-8,1.5177761258846528E-7,0,0,190.01904761904763,3359.888474123185,SUCLA2;SUCLG2;SUCLG1;DLD,Gluconeogenesis,kegg
Diabetic cardiomyopathy,4/203,2.8201637279818705E-5,1.3366664911745711E-4,0,0,28.403445800430724,297.55820548377221,PDHA1;SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Glycolysis / Gluconeogenesis,3/67,2.8283417729648286E-5,1.3366664911745711E-4,0,0,62.243749999999999,651.89341300163949,PDHA1;DLAT;DLD,Gluconeogenesis,kegg
Central carbon metabolism in cancer,3/70,3.2264363580075851E-5,1.3366664911745711E-4,0,0,59.447761194029852,614.7818301978358,PDHA1;IDH1;IDH2,Gluconeogenesis,kegg
Oxidative phosphorylation,3/133,2.1805759112672099E-4,7.9045876783436365E-4,0,0,30.541538461538462,257.48811663353064,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Non-alcoholic fatty liver disease,3/155,3.4201218417955051E-4,1.1020392601341072E-3,0,0,26.092105263157894,208.23233025316819,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Cysteine and methionine metabolism,2/50,9.1347050624201607E-4,2.6490644681018464E-3,0,0,51.911458333333336,363.28985484182709,MDH1;MDH2,Gluconeogenesis,kegg
Thermogenesis,3/232,1.1053626300749149E-3,2.8654266257762987E-3,0,0,17.251528384279474,117.4411910967076,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Glutathione metabolism,2/57,1.1856937761832961E-3,2.8654266257762987E-3,0,0,45.288636363636364,305.12889096639515,IDH1;IDH2,Gluconeogenesis,kegg
Parkinson disease,3/249,1.3547819209689829E-3,3.0222058237000388E-3,0,0,16.045528455284554,105.96651164912798,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Prion disease,3/273,1.7634187705898722E-3,3.652796024793307E-3,0,0,14.601481481481482,92.580706048645709,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Peroxisome,2/82,2.4346088945992775E-3,4.4234437837820609E-3,0,0,31.096875000000001,187.14003452280946,IDH1;IDH2,Gluconeogenesis,kegg
Huntington disease,3/306,2.4405207082935508E-3,4.4234437837820609E-3,0,0,12.98943894389439,78.13853965009811,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Amyotrophic lateral sclerosis,3/364,3.982225938925707E-3,6.6658080599352422E-3,0,0,10.870360110803324,60.068678761683714,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Alzheimer disease,3/369,4.1373981061667018E-3,6.6658080599352422E-3,0,0,10.71912568306011,58.823219155334804,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Pathways of neurodegeneration,3/475,8.3293254215131736E-3,1.2713180906520108E-2,0,0,8.2669491525423737,39.581927746613026,SDHC;SDHA;SDHB,Gluconeogenesis,kegg
Proximal tubule bicarbonate reclamation,1/23,2.0507371457078361E-2,2.9735688612763624E-2,0,0,53.36898395721925,207.44368622737056,MDH1,Gluconeogenesis,kegg
"Glycine, serine and threonine metabolism",1/40,3.5409072945574091E-2,4.889824359150708E-2,0,0,30.079939668174962,100.49067723322013,DLD,Gluconeogenesis,kegg
Tryptophan metabolism,1/42,3.7148070085386981E-2,4.8967910567101015E-2,0,0,28.609756097560975,94.207448212762941,DLD,Gluconeogenesis,kegg
"Valine, leucine and isoleucine degradation",1/48,4.2347313814152854E-2,5.3394439156975337E-2,0,0,24.949937421777221,78.887966825945881,DLD,Gluconeogenesis,kegg
Lysine degradation,1/63,5.522966630423428E-2,6.6735846784283084E-2,0,0,18.89943074003795,54.737571477584737,DLD,Gluconeogenesis,kegg
Renal cell carcinoma,1/69,6.033663736484967E-2,6.9990499343225612E-2,0,0,17.226643598615915,48.3692416453001,FH,Gluconeogenesis,kegg
Glucagon signaling pathway,1/107,9.2080312987244992E-2,0.10066507259667325,0,0,11.029966703662597,26.307508679008535,PDHA1,Gluconeogenesis,kegg
HIF-1 signaling pathway,1/109,9.3722653796902672E-2,0.10066507259667325,0,0,10.824618736383442,25.626368549164901,PDHA1,Gluconeogenesis,kegg
Cushing syndrome,1/155,0.1307310829477655,0.13540005019589998,0,0,7.5737203972498088,15.409588975790413,FH,Gluconeogenesis,kegg
Pathways in cancer,1/531,0.38403586589300343,0.38403586589300343,0,0,2.1589345172031078,2.066142065152393,FH,Gluconeogenesis,kegg
Oxidative phosphorylation,2/133,2.3209742239260786E-3,1.8809716293279342E-2,0,0,33.686174724342663,204.33252935417062,UQCR10;SDHA,Gluconeogenesis,kegg
Non-alcoholic fatty liver disease,2/155,3.1349527155465568E-3,1.8809716293279342E-2,0,0,28.81045751633987,166.0963552659853,UQCR10;SDHA,Gluconeogenesis,kegg
Diabetic cardiomyopathy,2/203,5.3085063609301002E-3,1.8826375641053893E-2,0,0,21.877280265339966,114.60292441530726,UQCR10;SDHA,Gluconeogenesis,kegg
Thermogenesis,2/232,6.8777543459550153E-3,1.8826375641053893E-2,0,0,19.090821256038648,95.062039678565696,UQCR10;SDHA,Gluconeogenesis,kegg
Parkinson disease,2/249,7.8846591208393806E-3,1.8826375641053893E-2,0,0,17.761583445793971,86.016440894203825,UQCR10;SDHA,Gluconeogenesis,kegg
Prion disease,2/273,9.4131878205269467E-3,1.8826375641053893E-2,0,0,16.168921689216891,75.438426213307352,UQCR10;SDHA,Gluconeogenesis,kegg
Huntington disease,2/306,1.1714596681928544E-2,2.0070341143561286E-2,0,0,14.389619883040936,63.989483199624374,UQCR10;SDHA,Gluconeogenesis,kegg
Amyotrophic lateral sclerosis,2/364,1.6298912453850758E-2,2.0070341143561286E-2,0,0,12.048496009821976,49.599524161381915,UQCR10;SDHA,Gluconeogenesis,kegg
Citrate cycle (TCA cycle),1/30,1.6380733950540891E-2,2.0070341143561286E-2,0,0,68.827586206896555,282.99490310676202,SDHA,Gluconeogenesis,kegg
Alzheimer disease,2/369,1.6725284286301073E-2,2.0070341143561286E-2,0,0,11.881320012110203,48.604504014054939,UQCR10;SDHA,Gluconeogenesis,kegg
Pathways of neurodegeneration,2/475,2.6863684936389024E-2,2.9305838112424386E-2,0,0,9.1688982851773542,33.16372086510065,UQCR10;SDHA,Gluconeogenesis,kegg
