HGNC_Symbol,Log2FC,P_Value,DataSet,Group,Sp
ACSL1,-0.11,0.59715,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACSS2,-0.10,0.43960,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACTB,-0.18,0.11950,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACTC1,0.08,0.71914,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ACTN4,-0.23,0.01827,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADA,0.02,0.93306,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADAM10,0.15,0.24159,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADCY1,-0.13,0.50394,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADCY10,0.18,0.38448,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADCY2,0.10,0.33836,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADCY5,-0.13,0.25059,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADCY6,-0.04,0.74463,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADCYAP1,0.02,0.94276,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADCYAP1R1,0.00,0.97945,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADIPOQ,-0.07,0.93210,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADIPOR1,-0.02,0.82362,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADORA1,-0.33,0.00561,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADORA2A,-0.51,0.13404,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADRA1A,0.19,0.27231,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADRA1D,0.12,0.69768,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADRB1,-0.20,0.24496,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADRB3,-0.23,0.57378,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ADSL,-0.01,0.94914,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AFMID,-0.20,0.30514,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AGAP2,-0.22,0.29120,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AGER,0.18,0.44707,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AGL,0.11,0.29538,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AGRP,-0.35,0.27793,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AGT,-0.16,0.59890,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AGXT,-0.06,0.94217,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AHR,0.01,0.95636,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AKAP13,0.18,0.09415,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AKR1A1,-0.20,0.08983,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AKR1B1,-0.06,0.63510,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AKR1C3,0.10,0.61481,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AKT1S1,-0.16,0.24747,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AKT3,-0.03,0.78976,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALAS1,-0.08,0.56652,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALB,-0.16,0.66367,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALDH18A1,0.03,0.76863,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALDH2,0.01,0.96375,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALDH3A1,-0.92,0.03410,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALDH4A1,-0.03,0.89075,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALDH5A1,-0.01,0.94427,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALDH7A1,0.00,0.98367,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALDH9A1,0.03,0.85610,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALDOA,-0.12,0.49329,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALOX12,-0.10,0.67861,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALOX15,0.05,0.90457,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALOX15B,-0.15,0.73351,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALOX5,-0.24,0.40441,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ALS2,0.10,0.35374,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AMBRA1,-0.06,0.49202,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AMOT,0.03,0.86796,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AMPD1,0.74,0.26929,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ANAPC10,0.25,0.02276,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ANAPC5,0.09,0.45217,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ANGPT1,0.47,0.11046,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ANGPT2,0.05,0.86402,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ANGPTL4,-1.33,0.00082,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ANPEP,-0.58,0.16524,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AOC1,0.50,0.50519,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AOX1,0.11,0.73010,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AP2M1,-0.15,0.46348,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APAF1,0.11,0.25082,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APBB1,-0.12,0.36478,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APBB1IP,0.33,0.31968,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APC2,-0.58,0.00254,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APH1A,-0.24,0.06367,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APOA1,-0.20,0.58879,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APOA2,0.41,0.69101,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APOA5,-0.58,0.48125,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APOB,0.78,0.03396,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APOC3,0.48,0.57948,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APOE,0.16,0.47672,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APP,-0.05,0.70049,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APPL1,-0.09,0.36540,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
APRT,0.03,0.85889,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AQP1,0.58,0.38209,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AQP4,0.29,0.45792,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AR,-0.02,0.91992,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARAF,-0.13,0.36489,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARC,-0.66,0.04280,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AREG,0.64,0.35159,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARF1,-0.08,0.50941,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARF6,-0.26,0.03320,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARHGAP35,-0.04,0.66867,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARHGDIA,0.07,0.61488,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARNT,0.03,0.74411,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARNT2,-0.08,0.52979,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ARRB1,-0.03,0.79697,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ASIP,-0.76,0.07780,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ASL,-0.10,0.48673,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ASMT,-0.27,0.63358,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ASNS,-0.02,0.92880,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ASPA,-0.23,0.60420,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ASS1,0.01,0.96489,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATF1,-0.01,0.91716,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATF2,-0.04,0.71902,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATF4,-0.03,0.86255,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATF6,0.10,0.28334,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATG12,0.03,0.74098,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATG13,-0.17,0.05654,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATG16L1,0.04,0.71566,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATG3,-0.01,0.93340,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATG5,-0.05,0.73606,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATG7,-0.01,0.89876,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATIC,0.40,0.01168,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATM,0.11,0.44674,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP2A1,-0.10,0.67765,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP2B1,-0.03,0.88438,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP6V0C,-0.47,0.18765,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP6V0D2,-0.85,0.27448,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP6V1A,-0.08,0.73541,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP6V1B1,-0.33,0.45826,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP6V1D,0.04,0.81069,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP6V1E1,-0.04,0.82406,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP6V1F,-0.03,0.89137,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATP6V1H,-0.11,0.56843,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
ATR,0.07,0.46800,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AUH,-0.14,0.21525,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AVP,-0.78,0.26346,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
AXIN1,-0.25,0.03661,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
B2M,-0.16,0.39440,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BAAT,-0.08,0.76722,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BACE1,0.07,0.63244,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BAD,-0.18,0.24061,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BAK1,-0.28,0.08650,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BAX,-0.21,0.11856,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BBC3,-0.28,0.23865,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCAR1,-0.35,0.00182,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCAT1,-0.07,0.69203,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCKDHA,-0.27,0.46498,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCL10,-0.06,0.63923,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCL2,-0.05,0.74654,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCL2A1,0.13,0.82738,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCL2L1,-0.23,0.01710,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCL2L11,0.02,0.91376,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCL2L2,-0.24,0.03617,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BCL6,-0.25,0.16273,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BDH1,0.02,0.88166,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BDKRB1,-0.07,0.92963,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BDNF,0.19,0.48138,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BHMT,0.55,0.09013,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BID,-0.09,0.44953,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BIRC2,0.03,0.79492,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BIRC5,0.07,0.86810,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BLNK,0.35,0.22935,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BMF,0.18,0.48419,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BMP2,-0.23,0.16036,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BMP4,-0.63,0.06716,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BMP7,0.07,0.75467,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BMP8A,-0.41,0.05172,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BMPR1A,0.02,0.84420,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BMPR1B,0.12,0.71555,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BMPR2,0.18,0.23042,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BNIP3,-0.11,0.46207,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BOC,-0.12,0.50789,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BPGM,-0.11,0.39367,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BRAF,0.15,0.17458,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BRCA1,-0.03,0.87136,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BRCA2,0.01,0.95540,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BTC,0.05,0.84160,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BTK,0.35,0.28788,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BUB1,0.08,0.79735,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
BUB3,-0.07,0.56734,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
C3,0.38,0.30255,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
C4A,-0.03,0.95395,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
C5,0.11,0.58525,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CA2,-0.03,0.90428,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CA4,-0.11,0.62436,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAB39,-0.13,0.42373,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CACNA1A,0.01,0.94114,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CACNA1B,-0.04,0.83033,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CACNA1C,0.08,0.64538,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CACNA1D,0.21,0.15691,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CACNA1I,-0.18,0.41483,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAD,-0.05,0.64668,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CALCRL,0.11,0.50123,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CALML6,0.07,0.85255,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CALR,-0.04,0.76058,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAMK2A,-0.09,0.70066,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAMK4,0.06,0.81088,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAMKK2,-0.15,0.48652,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAPN1,-0.25,0.12728,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAPN2,-0.01,0.96836,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CARD11,0.35,0.11097,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CASP1,0.24,0.43173,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CASP12,0.55,0.18402,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CASP3,0.06,0.62567,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CASP6,0.21,0.31246,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CASP7,-0.06,0.78332,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CASP8,-0.07,0.75274,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CASP9,0.03,0.85953,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAT,0.22,0.30683,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CAV1,-0.28,0.18401,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CBL,0.16,0.09363,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CBLB,0.18,0.21677,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CBR1,-0.05,0.82450,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CBS,-0.16,0.28783,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CBX3,-0.05,0.70078,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCL11,-1.00,0.10318,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCL17,0.67,0.37979,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCL2,-0.62,0.09403,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCL20,1.40,0.10584,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCL26,-0.24,0.76714,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCL7,0.41,0.43852,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCNA2,0.29,0.11332,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCNB2,-0.03,0.92307,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCNB3,0.01,0.96639,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCND1,0.04,0.78642,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCND2,0.08,0.62535,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCNE1,-0.02,0.92938,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCNG1,0.00,0.97436,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCNG2,-0.01,0.91572,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCNH,0.12,0.21465,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCR1,0.30,0.45038,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCR3,1.04,0.27378,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCR4,2.67,0.00297,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCR5,0.28,0.63030,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCR8,0.11,0.86568,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CCS,-0.07,0.58281,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD14,-0.53,0.11819,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD19,0.55,0.46788,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD22,-0.09,0.84335,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD28,-0.83,0.10277,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD36,-0.02,0.93349,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD3D,-1.38,0.04740,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD4,0.08,0.79565,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD40,-0.29,0.28014,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD40LG,-0.22,0.61024,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD44,0.47,0.42605,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD79A,-0.15,0.86985,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD79B,-0.49,0.32367,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD80,0.36,0.48197,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD81,-0.22,0.15635,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CD86,0.67,0.10779,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDA,-1.15,0.06936,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDC14B,-0.02,0.92154,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDC20,-0.08,0.75635,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDC25A,0.31,0.27793,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDC37,-0.17,0.30386,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDC42,-0.02,0.89441,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDC45,-0.19,0.65691,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDC6,0.12,0.60629,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDC7,0.03,0.86317,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDH1,0.38,0.32521,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDH5,-0.65,0.01913,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDIPT,-0.18,0.22753,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDK1,-0.13,0.63026,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDK2,0.04,0.90895,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDK4,-0.06,0.65349,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDK5,-0.04,0.87784,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDK5R1,-0.21,0.31138,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDK6,0.11,0.61244,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDK7,-0.09,0.51803,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDK9,-0.12,0.25501,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDKN1A,-0.44,0.22668,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDKN1B,-0.20,0.08726,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDKN2A,-0.14,0.72880,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDKN2B,-0.26,0.21222,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDKN2C,-0.05,0.76988,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDKN2D,-0.12,0.55013,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CDX2,-0.53,0.50059,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CEBPA,-0.30,0.53552,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CEBPB,-0.22,0.25151,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CER1,-0.04,0.94300,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CFL1,-0.05,0.75229,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CFLAR,-0.05,0.81320,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CHD8,0.12,0.14764,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CHDH,-0.13,0.55325,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CHEK1,0.08,0.64505,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CHRM1,-0.04,0.87120,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CHRM3,0.08,0.74877,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CHRNA4,-0.33,0.07788,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CHRNA7,-0.01,0.96844,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CHUK,0.05,0.61874,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CISH,-0.61,0.23030,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CKB,-0.25,0.12368,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CLIP1,0.07,0.47949,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CLOCK,0.17,0.07292,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CLTA,0.04,0.79572,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CMPK2,-0.17,0.21867,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CNGB1,0.05,0.89177,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
CNOT1,0.07,0.42430,PantazatosMDDvsMDD-S_GSE101521,MDD,Human
