HGNC_Symbol,Log2FC,P_Value,DataSet,Group,Sp
ADIPOR1,-0.08,0.31577,hiPSC_Neuron,SCZ,Human
ADORA1,0.47,0.07868,hiPSC_Neuron,SCZ,Human
ADORA2A,0.02,0.92224,hiPSC_Neuron,SCZ,Human
ADRA1A,1.88,0.03601,hiPSC_Neuron,SCZ,Human
ADRA1D,0.10,0.80581,hiPSC_Neuron,SCZ,Human
ADSL,-0.10,0.43260,hiPSC_Neuron,SCZ,Human
AFMID,-0.23,0.08642,hiPSC_Neuron,SCZ,Human
AGAP2,-0.01,0.94145,hiPSC_Neuron,SCZ,Human
AGER,0.00,0.98587,hiPSC_Neuron,SCZ,Human
AGL,-0.08,0.36211,hiPSC_Neuron,SCZ,Human
AGT,-0.72,0.04112,hiPSC_Neuron,SCZ,Human
AHR,-0.17,0.46549,hiPSC_Neuron,SCZ,Human
AKAP13,-0.03,0.54327,hiPSC_Neuron,SCZ,Human
AKR1A1,0.09,0.33224,hiPSC_Neuron,SCZ,Human
AKR1B1,-0.16,0.17373,hiPSC_Neuron,SCZ,Human
AKT1S1,-0.04,0.59865,hiPSC_Neuron,SCZ,Human
AKT3,0.02,0.86369,hiPSC_Neuron,SCZ,Human
ALAS1,-0.14,0.07401,hiPSC_Neuron,SCZ,Human
ALDH18A1,0.02,0.78834,hiPSC_Neuron,SCZ,Human
ALDH2,-0.01,0.93905,hiPSC_Neuron,SCZ,Human
ALDH4A1,-0.05,0.86557,hiPSC_Neuron,SCZ,Human
ALDH5A1,-0.09,0.38947,hiPSC_Neuron,SCZ,Human
ALDH7A1,0.03,0.76411,hiPSC_Neuron,SCZ,Human
ALDH9A1,-0.15,0.29339,hiPSC_Neuron,SCZ,Human
ALDOA,0.11,0.53718,hiPSC_Neuron,SCZ,Human
ALOX12,0.03,0.78965,hiPSC_Neuron,SCZ,Human
ALS2,0.02,0.81014,hiPSC_Neuron,SCZ,Human
AMBRA1,0.02,0.66870,hiPSC_Neuron,SCZ,Human
AMOT,0.10,0.58793,hiPSC_Neuron,SCZ,Human
ANAPC10,0.02,0.69424,hiPSC_Neuron,SCZ,Human
ANAPC5,-0.05,0.51274,hiPSC_Neuron,SCZ,Human
ANGPT1,-0.26,0.31549,hiPSC_Neuron,SCZ,Human
ANGPT2,0.28,0.17957,hiPSC_Neuron,SCZ,Human
ANGPTL4,-0.19,0.34325,hiPSC_Neuron,SCZ,Human
AP2M1,-0.13,0.12919,hiPSC_Neuron,SCZ,Human
APAF1,-0.14,0.26652,hiPSC_Neuron,SCZ,Human
APBB1,-0.03,0.65218,hiPSC_Neuron,SCZ,Human
APC2,0.22,0.11178,hiPSC_Neuron,SCZ,Human
APH1A,-0.04,0.60971,hiPSC_Neuron,SCZ,Human
APOE,-0.05,0.87738,hiPSC_Neuron,SCZ,Human
APP,-0.06,0.61400,hiPSC_Neuron,SCZ,Human
APPL1,0.02,0.69750,hiPSC_Neuron,SCZ,Human
APRT,-0.01,0.94752,hiPSC_Neuron,SCZ,Human
AQP1,0.08,0.89887,hiPSC_Neuron,SCZ,Human
AQP4,0.13,0.80631,hiPSC_Neuron,SCZ,Human
AR,-0.06,0.69751,hiPSC_Neuron,SCZ,Human
ARAF,-0.05,0.55757,hiPSC_Neuron,SCZ,Human
ARC,-0.15,0.67385,hiPSC_Neuron,SCZ,Human
ARF1,-0.05,0.64364,hiPSC_Neuron,SCZ,Human
ARF6,-0.12,0.14117,hiPSC_Neuron,SCZ,Human
ARHGAP35,-0.08,0.32364,hiPSC_Neuron,SCZ,Human
ARHGDIA,-0.09,0.41935,hiPSC_Neuron,SCZ,Human
ARNT,0.09,0.23209,hiPSC_Neuron,SCZ,Human
ARNT2,0.04,0.72089,hiPSC_Neuron,SCZ,Human
ARRB1,-0.01,0.96662,hiPSC_Neuron,SCZ,Human
ASIP,-0.01,0.96028,hiPSC_Neuron,SCZ,Human
ASL,-0.06,0.73570,hiPSC_Neuron,SCZ,Human
ASNS,0.11,0.66273,hiPSC_Neuron,SCZ,Human
ASS1,-0.96,0.04195,hiPSC_Neuron,SCZ,Human
ATF1,-0.07,0.41578,hiPSC_Neuron,SCZ,Human
ATF2,-0.02,0.85413,hiPSC_Neuron,SCZ,Human
ATF4,-0.06,0.66837,hiPSC_Neuron,SCZ,Human
ATF6,0.03,0.66153,hiPSC_Neuron,SCZ,Human
ATG12,-0.02,0.72064,hiPSC_Neuron,SCZ,Human
ATG13,-0.04,0.56110,hiPSC_Neuron,SCZ,Human
ATG16L1,-0.01,0.91210,hiPSC_Neuron,SCZ,Human
ATG3,-0.06,0.43727,hiPSC_Neuron,SCZ,Human
ATG5,-0.04,0.47796,hiPSC_Neuron,SCZ,Human
ATG7,0.03,0.69713,hiPSC_Neuron,SCZ,Human
ATIC,0.02,0.84198,hiPSC_Neuron,SCZ,Human
ATM,0.12,0.05974,hiPSC_Neuron,SCZ,Human
ATP2A1,-0.03,0.77608,hiPSC_Neuron,SCZ,Human
ATP2B1,-0.03,0.85284,hiPSC_Neuron,SCZ,Human
ATP6V0C,-0.12,0.26291,hiPSC_Neuron,SCZ,Human
ATP6V1A,-0.20,0.03858,hiPSC_Neuron,SCZ,Human
ATP6V1B1,0.05,0.87354,hiPSC_Neuron,SCZ,Human
ATP6V1D,-0.10,0.24460,hiPSC_Neuron,SCZ,Human
ATP6V1E1,-0.03,0.75817,hiPSC_Neuron,SCZ,Human
ATP6V1F,-0.08,0.42096,hiPSC_Neuron,SCZ,Human
ATP6V1H,-0.11,0.16756,hiPSC_Neuron,SCZ,Human
ATR,0.06,0.30147,hiPSC_Neuron,SCZ,Human
AUH,0.00,0.99302,hiPSC_Neuron,SCZ,Human
AXIN1,-0.14,0.06973,hiPSC_Neuron,SCZ,Human
B2M,-0.30,0.18684,hiPSC_Neuron,SCZ,Human
BACE1,0.01,0.87338,hiPSC_Neuron,SCZ,Human
BAD,-0.02,0.81642,hiPSC_Neuron,SCZ,Human
BAK1,-0.06,0.57150,hiPSC_Neuron,SCZ,Human
BAX,0.15,0.30147,hiPSC_Neuron,SCZ,Human
BBC3,0.34,0.20119,hiPSC_Neuron,SCZ,Human
BCAR1,-0.10,0.24359,hiPSC_Neuron,SCZ,Human
BCAT1,0.12,0.65727,hiPSC_Neuron,SCZ,Human
BCL10,-0.06,0.34980,hiPSC_Neuron,SCZ,Human
BCL2,0.09,0.64495,hiPSC_Neuron,SCZ,Human
BCL2L1,-0.09,0.50694,hiPSC_Neuron,SCZ,Human
BCL2L11,-0.39,0.01602,hiPSC_Neuron,SCZ,Human
BCL2L2,0.01,0.81863,hiPSC_Neuron,SCZ,Human
BCL6,0.20,0.48830,hiPSC_Neuron,SCZ,Human
BDH1,-0.14,0.43437,hiPSC_Neuron,SCZ,Human
BDNF,0.12,0.66419,hiPSC_Neuron,SCZ,Human
BID,-0.02,0.79816,hiPSC_Neuron,SCZ,Human
BIRC2,-0.02,0.75131,hiPSC_Neuron,SCZ,Human
BIRC5,-0.10,0.65736,hiPSC_Neuron,SCZ,Human
BMF,0.08,0.80744,hiPSC_Neuron,SCZ,Human
BMP2,-0.66,0.35646,hiPSC_Neuron,SCZ,Human
BMP4,0.30,0.54025,hiPSC_Neuron,SCZ,Human
BMP7,0.38,0.05628,hiPSC_Neuron,SCZ,Human
BMPR1A,0.03,0.64612,hiPSC_Neuron,SCZ,Human
BMPR1B,-0.49,0.23238,hiPSC_Neuron,SCZ,Human
BMPR2,-0.01,0.96646,hiPSC_Neuron,SCZ,Human
BNIP3,0.03,0.88533,hiPSC_Neuron,SCZ,Human
BOC,-0.14,0.56238,hiPSC_Neuron,SCZ,Human
BPGM,-0.12,0.14287,hiPSC_Neuron,SCZ,Human
BRAF,-0.06,0.25328,hiPSC_Neuron,SCZ,Human
BRCA1,0.08,0.73646,hiPSC_Neuron,SCZ,Human
BRCA2,-0.11,0.65963,hiPSC_Neuron,SCZ,Human
BUB1,0.04,0.84770,hiPSC_Neuron,SCZ,Human
BUB3,-0.10,0.27254,hiPSC_Neuron,SCZ,Human
C4A,-0.03,0.93525,hiPSC_Neuron,SCZ,Human
C5,-0.07,0.73172,hiPSC_Neuron,SCZ,Human
CA2,-0.40,0.11632,hiPSC_Neuron,SCZ,Human
CAB39,-0.11,0.20747,hiPSC_Neuron,SCZ,Human
CACNA1A,-1.16,0.00127,hiPSC_Neuron,SCZ,Human
CACNA1B,-0.39,0.13109,hiPSC_Neuron,SCZ,Human
CACNA1C,-0.19,0.42266,hiPSC_Neuron,SCZ,Human
CACNA1D,0.06,0.89035,hiPSC_Neuron,SCZ,Human
CACNA1I,0.03,0.93924,hiPSC_Neuron,SCZ,Human
CAD,0.06,0.63320,hiPSC_Neuron,SCZ,Human
CALCRL,-0.79,0.02581,hiPSC_Neuron,SCZ,Human
CALR,-0.09,0.41680,hiPSC_Neuron,SCZ,Human
CAMK2A,0.14,0.71528,hiPSC_Neuron,SCZ,Human
CAMK4,-0.10,0.60730,hiPSC_Neuron,SCZ,Human
CAMKK2,0.07,0.53031,hiPSC_Neuron,SCZ,Human
CAPN1,-0.05,0.57154,hiPSC_Neuron,SCZ,Human
CAPN2,-0.20,0.02560,hiPSC_Neuron,SCZ,Human
CASP3,0.00,0.97790,hiPSC_Neuron,SCZ,Human
CASP6,-0.10,0.49252,hiPSC_Neuron,SCZ,Human
CASP7,-0.09,0.49576,hiPSC_Neuron,SCZ,Human
CASP8,-0.41,0.11355,hiPSC_Neuron,SCZ,Human
CASP9,-0.04,0.65375,hiPSC_Neuron,SCZ,Human
CAT,1.56,0.00072,hiPSC_Neuron,SCZ,Human
CAV1,-0.36,0.17198,hiPSC_Neuron,SCZ,Human
CBL,0.06,0.42834,hiPSC_Neuron,SCZ,Human
CBLB,-0.05,0.66779,hiPSC_Neuron,SCZ,Human
CBR1,-0.04,0.79885,hiPSC_Neuron,SCZ,Human
CBS,0.07,0.61940,hiPSC_Neuron,SCZ,Human
CBX3,0.00,0.95516,hiPSC_Neuron,SCZ,Human
CCL2,1.07,0.14339,hiPSC_Neuron,SCZ,Human
CCNA2,0.02,0.93412,hiPSC_Neuron,SCZ,Human
CCNB2,0.06,0.77273,hiPSC_Neuron,SCZ,Human
CCNB3,-0.17,0.61660,hiPSC_Neuron,SCZ,Human
CCND1,0.02,0.94307,hiPSC_Neuron,SCZ,Human
CCND2,0.26,0.58413,hiPSC_Neuron,SCZ,Human
CCNE1,-0.10,0.59886,hiPSC_Neuron,SCZ,Human
CCNG1,-0.03,0.87988,hiPSC_Neuron,SCZ,Human
CCNG2,0.13,0.22808,hiPSC_Neuron,SCZ,Human
CCNH,0.04,0.55208,hiPSC_Neuron,SCZ,Human
CCS,0.08,0.56627,hiPSC_Neuron,SCZ,Human
CD36,-0.24,0.44055,hiPSC_Neuron,SCZ,Human
CD4,-0.07,0.77332,hiPSC_Neuron,SCZ,Human
CD44,-0.12,0.71548,hiPSC_Neuron,SCZ,Human
CD81,-0.02,0.86227,hiPSC_Neuron,SCZ,Human
CDC14B,0.01,0.94759,hiPSC_Neuron,SCZ,Human
CDC20,0.00,0.98524,hiPSC_Neuron,SCZ,Human
CDC25A,-0.09,0.62358,hiPSC_Neuron,SCZ,Human
CDC37,-0.10,0.11901,hiPSC_Neuron,SCZ,Human
CDC42,-0.08,0.15933,hiPSC_Neuron,SCZ,Human
CDC45,0.13,0.74791,hiPSC_Neuron,SCZ,Human
CDC6,-0.07,0.79793,hiPSC_Neuron,SCZ,Human
CDC7,0.01,0.93518,hiPSC_Neuron,SCZ,Human
CDH1,1.29,0.06020,hiPSC_Neuron,SCZ,Human
CDIPT,0.02,0.84043,hiPSC_Neuron,SCZ,Human
CDK1,-0.01,0.97196,hiPSC_Neuron,SCZ,Human
CDK2,0.00,0.99890,hiPSC_Neuron,SCZ,Human
CDK4,0.02,0.86960,hiPSC_Neuron,SCZ,Human
CDK5,-0.12,0.29746,hiPSC_Neuron,SCZ,Human
CDK5R1,-0.08,0.67603,hiPSC_Neuron,SCZ,Human
CDK6,-0.20,0.15825,hiPSC_Neuron,SCZ,Human
CDK7,-0.05,0.51312,hiPSC_Neuron,SCZ,Human
CDK9,-0.17,0.01777,hiPSC_Neuron,SCZ,Human
CDKN1A,0.53,0.12105,hiPSC_Neuron,SCZ,Human
CDKN1B,0.03,0.80405,hiPSC_Neuron,SCZ,Human
CDKN2A,-0.28,0.47776,hiPSC_Neuron,SCZ,Human
CDKN2B,-0.34,0.28860,hiPSC_Neuron,SCZ,Human
CDKN2C,-0.14,0.66297,hiPSC_Neuron,SCZ,Human
CDKN2D,-0.25,0.27752,hiPSC_Neuron,SCZ,Human
CEBPB,0.22,0.41970,hiPSC_Neuron,SCZ,Human
CFL1,0.04,0.73413,hiPSC_Neuron,SCZ,Human
CFLAR,-1.34,0.00021,hiPSC_Neuron,SCZ,Human
CHD8,-0.01,0.91148,hiPSC_Neuron,SCZ,Human
CHDH,-0.28,0.45420,hiPSC_Neuron,SCZ,Human
CHEK1,0.14,0.42955,hiPSC_Neuron,SCZ,Human
CHRM3,-0.42,0.09931,hiPSC_Neuron,SCZ,Human
CHRNA4,-0.27,0.32141,hiPSC_Neuron,SCZ,Human
CHRNA7,-0.32,0.15360,hiPSC_Neuron,SCZ,Human
CHUK,-0.11,0.16335,hiPSC_Neuron,SCZ,Human
CISH,-0.11,0.66252,hiPSC_Neuron,SCZ,Human
CKB,0.22,0.09669,hiPSC_Neuron,SCZ,Human
CLIP1,-0.10,0.24225,hiPSC_Neuron,SCZ,Human
CLOCK,-0.03,0.58715,hiPSC_Neuron,SCZ,Human
CLTA,-0.12,0.18311,hiPSC_Neuron,SCZ,Human
CMPK2,0.03,0.88863,hiPSC_Neuron,SCZ,Human
CNGB1,-0.09,0.82420,hiPSC_Neuron,SCZ,Human
CNOT1,0.02,0.68164,hiPSC_Neuron,SCZ,Human
CNOT10,0.01,0.88663,hiPSC_Neuron,SCZ,Human
CNOT6L,0.05,0.54675,hiPSC_Neuron,SCZ,Human
CNR1,-0.23,0.43379,hiPSC_Neuron,SCZ,Human
COL1A1,1.11,0.13227,hiPSC_Neuron,SCZ,Human
COMT,0.19,0.41682,hiPSC_Neuron,SCZ,Human
COX11,-0.01,0.85916,hiPSC_Neuron,SCZ,Human
COX15,0.02,0.71823,hiPSC_Neuron,SCZ,Human
COX17,-0.12,0.21467,hiPSC_Neuron,SCZ,Human
COX4I1,-0.06,0.37691,hiPSC_Neuron,SCZ,Human
COX5A,-0.07,0.37122,hiPSC_Neuron,SCZ,Human
COX5B,-0.07,0.46810,hiPSC_Neuron,SCZ,Human
COX6A1,-0.08,0.50355,hiPSC_Neuron,SCZ,Human
COX6B2,0.29,0.35013,hiPSC_Neuron,SCZ,Human
COX6C,-0.05,0.54410,hiPSC_Neuron,SCZ,Human
COX7A1,0.27,0.12044,hiPSC_Neuron,SCZ,Human
COX7B,-0.11,0.18557,hiPSC_Neuron,SCZ,Human
COX7C,-0.08,0.48018,hiPSC_Neuron,SCZ,Human
COX8A,-0.09,0.46008,hiPSC_Neuron,SCZ,Human
CP,-0.19,0.66872,hiPSC_Neuron,SCZ,Human
CPS1,-0.17,0.48416,hiPSC_Neuron,SCZ,Human
CPT1A,0.07,0.76320,hiPSC_Neuron,SCZ,Human
CPT1B,-0.14,0.29895,hiPSC_Neuron,SCZ,Human
CPT1C,-0.13,0.19114,hiPSC_Neuron,SCZ,Human
CPT2,-0.03,0.71581,hiPSC_Neuron,SCZ,Human
CRAT,-0.09,0.29310,hiPSC_Neuron,SCZ,Human
CREB1,-0.01,0.83120,hiPSC_Neuron,SCZ,Human
CREB3,-0.09,0.25251,hiPSC_Neuron,SCZ,Human
CREBBP,-0.06,0.48499,hiPSC_Neuron,SCZ,Human
CRHR1,-0.01,0.98542,hiPSC_Neuron,SCZ,Human
CRK,-0.10,0.11145,hiPSC_Neuron,SCZ,Human
CRTC2,0.00,0.98395,hiPSC_Neuron,SCZ,Human
CS,0.03,0.66608,hiPSC_Neuron,SCZ,Human
CSF1,0.13,0.50820,hiPSC_Neuron,SCZ,Human
CSF1R,0.05,0.72318,hiPSC_Neuron,SCZ,Human
CSNK1D,-0.09,0.05361,hiPSC_Neuron,SCZ,Human
CSNK2A1,0.02,0.68949,hiPSC_Neuron,SCZ,Human
CTBP1,-0.06,0.20439,hiPSC_Neuron,SCZ,Human
CTH,-0.13,0.46154,hiPSC_Neuron,SCZ,Human
CTNNA1,-0.06,0.50512,hiPSC_Neuron,SCZ,Human
CTNNB1,0.06,0.46143,hiPSC_Neuron,SCZ,Human
CTNNBIP1,-0.12,0.16237,hiPSC_Neuron,SCZ,Human
CTNND1,0.16,0.03262,hiPSC_Neuron,SCZ,Human
CTPS1,-0.01,0.96492,hiPSC_Neuron,SCZ,Human
CTSD,-0.04,0.66699,hiPSC_Neuron,SCZ,Human
CUL1,-0.06,0.48213,hiPSC_Neuron,SCZ,Human
CUL2,-0.04,0.48836,hiPSC_Neuron,SCZ,Human
CUL3,-0.01,0.83759,hiPSC_Neuron,SCZ,Human
CX3CL1,0.09,0.64018,hiPSC_Neuron,SCZ,Human
CXCL12,0.22,0.72420,hiPSC_Neuron,SCZ,Human
CXCR4,-0.15,0.54733,hiPSC_Neuron,SCZ,Human
CXCR6,0.01,0.95538,hiPSC_Neuron,SCZ,Human
CXXC4,0.05,0.74283,hiPSC_Neuron,SCZ,Human
CYBA,-0.94,0.04038,hiPSC_Neuron,SCZ,Human
CYC1,-0.05,0.49775,hiPSC_Neuron,SCZ,Human
CYCS,-0.13,0.20334,hiPSC_Neuron,SCZ,Human
CYP1B1,-0.47,0.34118,hiPSC_Neuron,SCZ,Human
CYP27A1,-0.55,0.04224,hiPSC_Neuron,SCZ,Human
CYP2E1,0.35,0.08535,hiPSC_Neuron,SCZ,Human
CYP2U1,-0.01,0.88479,hiPSC_Neuron,SCZ,Human
CYP3A4,0.30,0.37477,hiPSC_Neuron,SCZ,Human
DAB1,-0.12,0.63001,hiPSC_Neuron,SCZ,Human
DAXX,-0.02,0.80134,hiPSC_Neuron,SCZ,Human
DBF4,0.16,0.30740,hiPSC_Neuron,SCZ,Human
DBI,0.18,0.43485,hiPSC_Neuron,SCZ,Human
DCC,-0.13,0.63501,hiPSC_Neuron,SCZ,Human
DCK,-0.01,0.92108,hiPSC_Neuron,SCZ,Human
DCT,-0.16,0.76135,hiPSC_Neuron,SCZ,Human
DCTD,-0.28,0.00108,hiPSC_Neuron,SCZ,Human
DDB2,0.28,0.14704,hiPSC_Neuron,SCZ,Human
DDC,-0.33,0.52738,hiPSC_Neuron,SCZ,Human
DDIT3,0.02,0.95493,hiPSC_Neuron,SCZ,Human
DDIT4,0.17,0.47709,hiPSC_Neuron,SCZ,Human
DDX5,-0.09,0.10851,hiPSC_Neuron,SCZ,Human
DERL1,-0.05,0.57104,hiPSC_Neuron,SCZ,Human
DHODH,0.08,0.29635,hiPSC_Neuron,SCZ,Human
DIAPH1,-0.08,0.35604,hiPSC_Neuron,SCZ,Human
DIO1,-0.02,0.93684,hiPSC_Neuron,SCZ,Human
DIO2,1.17,0.08398,hiPSC_Neuron,SCZ,Human
DIO3,-0.57,0.34704,hiPSC_Neuron,SCZ,Human
DKK1,0.38,0.36782,hiPSC_Neuron,SCZ,Human
DLAT,-0.05,0.57725,hiPSC_Neuron,SCZ,Human
DLD,-0.09,0.21177,hiPSC_Neuron,SCZ,Human
DLG1,0.05,0.51930,hiPSC_Neuron,SCZ,Human
DLG4,0.01,0.92800,hiPSC_Neuron,SCZ,Human
DLL3,-0.22,0.51566,hiPSC_Neuron,SCZ,Human
DLST,-0.05,0.35681,hiPSC_Neuron,SCZ,Human
DNM1,-0.06,0.58339,hiPSC_Neuron,SCZ,Human
DNM1L,-0.01,0.86852,hiPSC_Neuron,SCZ,Human
DNM2,-0.06,0.26205,hiPSC_Neuron,SCZ,Human
DNMT1,-0.03,0.83069,hiPSC_Neuron,SCZ,Human
DNMT3A,0.01,0.85659,hiPSC_Neuron,SCZ,Human
DOCK1,-0.06,0.54723,hiPSC_Neuron,SCZ,Human
DOCK2,0.10,0.72469,hiPSC_Neuron,SCZ,Human
DPYD,0.12,0.62437,hiPSC_Neuron,SCZ,Human
DPYSL2,0.02,0.81280,hiPSC_Neuron,SCZ,Human
DRD1,-0.11,0.87327,hiPSC_Neuron,SCZ,Human
DRD2,0.94,0.07723,hiPSC_Neuron,SCZ,Human
DTYMK,0.00,0.96687,hiPSC_Neuron,SCZ,Human
DUT,-0.04,0.75762,hiPSC_Neuron,SCZ,Human
DVL1,-0.04,0.52676,hiPSC_Neuron,SCZ,Human
DYNLL2,-0.13,0.17215,hiPSC_Neuron,SCZ,Human
E2F1,0.19,0.44958,hiPSC_Neuron,SCZ,Human
E2F2,0.29,0.45893,hiPSC_Neuron,SCZ,Human
E2F3,0.17,0.06829,hiPSC_Neuron,SCZ,Human
E2F4,-0.05,0.50610,hiPSC_Neuron,SCZ,Human
ECH1,-0.09,0.26504,hiPSC_Neuron,SCZ,Human
ECHDC1,0.08,0.23916,hiPSC_Neuron,SCZ,Human
ECHS1,-0.11,0.21641,hiPSC_Neuron,SCZ,Human
EDN1,0.07,0.86441,hiPSC_Neuron,SCZ,Human
EDNRA,-0.18,0.74191,hiPSC_Neuron,SCZ,Human
EDNRB,-0.05,0.86352,hiPSC_Neuron,SCZ,Human
EEF2,-0.01,0.95737,hiPSC_Neuron,SCZ,Human
EEF2K,0.21,0.13215,hiPSC_Neuron,SCZ,Human
EFNA1,0.23,0.27331,hiPSC_Neuron,SCZ,Human
EGF,0.37,0.19984,hiPSC_Neuron,SCZ,Human
EGFR,-0.58,0.17097,hiPSC_Neuron,SCZ,Human
EGLN2,0.01,0.85039,hiPSC_Neuron,SCZ,Human
EGR1,0.17,0.64974,hiPSC_Neuron,SCZ,Human
EGR2,-0.24,0.33849,hiPSC_Neuron,SCZ,Human
EHHADH,0.17,0.49791,hiPSC_Neuron,SCZ,Human
EHMT2,0.05,0.41857,hiPSC_Neuron,SCZ,Human
EIF2AK2,-0.05,0.47725,hiPSC_Neuron,SCZ,Human
EIF2AK3,-0.09,0.48434,hiPSC_Neuron,SCZ,Human
EIF2S1,-0.05,0.51735,hiPSC_Neuron,SCZ,Human
EIF3H,0.01,0.87453,hiPSC_Neuron,SCZ,Human
EIF4B,-0.01,0.94970,hiPSC_Neuron,SCZ,Human
EIF4E,-0.12,0.07004,hiPSC_Neuron,SCZ,Human
EIF4EBP1,0.43,0.06132,hiPSC_Neuron,SCZ,Human
ELAVL1,-0.04,0.46187,hiPSC_Neuron,SCZ,Human
ELK1,-0.05,0.55015,hiPSC_Neuron,SCZ,Human
ELMO1,0.06,0.74032,hiPSC_Neuron,SCZ,Human
ELOVL1,0.10,0.40386,hiPSC_Neuron,SCZ,Human
ELOVL2,0.56,0.07630,hiPSC_Neuron,SCZ,Human
ELOVL4,-0.16,0.18469,hiPSC_Neuron,SCZ,Human
ELOVL5,0.09,0.47918,hiPSC_Neuron,SCZ,Human
ELOVL6,0.13,0.27209,hiPSC_Neuron,SCZ,Human
ENO1,-0.03,0.87142,hiPSC_Neuron,SCZ,Human
ENPP1,0.16,0.68955,hiPSC_Neuron,SCZ,Human
EPAS1,-0.10,0.83001,hiPSC_Neuron,SCZ,Human
EPHA2,0.41,0.22193,hiPSC_Neuron,SCZ,Human
EPHX1,0.01,0.95201,hiPSC_Neuron,SCZ,Human
EPHX2,-0.15,0.49628,hiPSC_Neuron,SCZ,Human
ERBB2,-0.01,0.95637,hiPSC_Neuron,SCZ,Human
ERBB3,-0.07,0.86018,hiPSC_Neuron,SCZ,Human
ERBB4,-0.11,0.56390,hiPSC_Neuron,SCZ,Human
ERN1,-0.18,0.13474,hiPSC_Neuron,SCZ,Human
ESPL1,0.09,0.74139,hiPSC_Neuron,SCZ,Human
ESR1,-0.04,0.84592,hiPSC_Neuron,SCZ,Human
ESRRB,0.45,0.18362,hiPSC_Neuron,SCZ,Human
ETS1,-0.01,0.98705,hiPSC_Neuron,SCZ,Human
ETV5,0.03,0.93318,hiPSC_Neuron,SCZ,Human
ETV6,0.06,0.67324,hiPSC_Neuron,SCZ,Human
EWSR1,-0.07,0.25512,hiPSC_Neuron,SCZ,Human
EXOC2,0.08,0.12286,hiPSC_Neuron,SCZ,Human
EXOC4,0.03,0.67015,hiPSC_Neuron,SCZ,Human
EXOC5,0.06,0.33088,hiPSC_Neuron,SCZ,Human
EXOC7,-0.10,0.27530,hiPSC_Neuron,SCZ,Human
EXOSC2,-0.02,0.82931,hiPSC_Neuron,SCZ,Human
EXOSC4,-0.06,0.55991,hiPSC_Neuron,SCZ,Human
EXOSC7,-0.07,0.37348,hiPSC_Neuron,SCZ,Human
EXOSC9,0.01,0.93304,hiPSC_Neuron,SCZ,Human
EZH2,0.10,0.34966,hiPSC_Neuron,SCZ,Human
EZR,0.02,0.91052,hiPSC_Neuron,SCZ,Human
F2R,0.30,0.10514,hiPSC_Neuron,SCZ,Human
FABP3,-0.07,0.61599,hiPSC_Neuron,SCZ,Human
