HGNC_Symbol,Log2FC,P_Value,DataSet,Group,Sp
ACTC1,-0.18,0.10045,AMP_AD_MAYO_CBE_ALL,AD,Human
ACTN4,-0.01,0.78168,AMP_AD_MAYO_CBE_ALL,AD,Human
ADA,0.22,0.04098,AMP_AD_MAYO_CBE_ALL,AD,Human
ADAM10,0.06,0.23675,AMP_AD_MAYO_CBE_ALL,AD,Human
ADCY1,0.09,0.20853,AMP_AD_MAYO_CBE_ALL,AD,Human
ADCY10,0.25,0.10042,AMP_AD_MAYO_CBE_ALL,AD,Human
ADCY2,-0.06,0.54845,AMP_AD_MAYO_CBE_ALL,AD,Human
ADCY5,-0.13,0.06463,AMP_AD_MAYO_CBE_ALL,AD,Human
ADCY6,0.21,0.00001,AMP_AD_MAYO_CBE_ALL,AD,Human
ADCYAP1,0.20,0.16154,AMP_AD_MAYO_CBE_ALL,AD,Human
ADCYAP1R1,0.19,0.00300,AMP_AD_MAYO_CBE_ALL,AD,Human
ADIPOR1,-0.04,0.09060,AMP_AD_MAYO_CBE_ALL,AD,Human
ADORA1,0.21,0.00040,AMP_AD_MAYO_CBE_ALL,AD,Human
ADORA2A,0.76,0.00005,AMP_AD_MAYO_CBE_ALL,AD,Human
ADRA1A,0.15,0.17046,AMP_AD_MAYO_CBE_ALL,AD,Human
ADRA1D,0.46,0.01087,AMP_AD_MAYO_CBE_ALL,AD,Human
ADRB1,0.11,0.19710,AMP_AD_MAYO_CBE_ALL,AD,Human
ADSL,0.08,0.02414,AMP_AD_MAYO_CBE_ALL,AD,Human
AFMID,-0.08,0.29900,AMP_AD_MAYO_CBE_ALL,AD,Human
AGAP2,-0.25,0.00116,AMP_AD_MAYO_CBE_ALL,AD,Human
AGER,-0.11,0.19885,AMP_AD_MAYO_CBE_ALL,AD,Human
AGL,-0.14,0.00760,AMP_AD_MAYO_CBE_ALL,AD,Human
AGT,0.12,0.14195,AMP_AD_MAYO_CBE_ALL,AD,Human
AHR,-0.07,0.27861,AMP_AD_MAYO_CBE_ALL,AD,Human
AKAP13,0.02,0.74538,AMP_AD_MAYO_CBE_ALL,AD,Human
AKR1A1,-0.15,0.00343,AMP_AD_MAYO_CBE_ALL,AD,Human
AKR1B1,0.14,0.00002,AMP_AD_MAYO_CBE_ALL,AD,Human
AKT1S1,0.05,0.37120,AMP_AD_MAYO_CBE_ALL,AD,Human
AKT3,0.18,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
ALAS1,0.26,0.00002,AMP_AD_MAYO_CBE_ALL,AD,Human
ALDH18A1,-0.05,0.16375,AMP_AD_MAYO_CBE_ALL,AD,Human
ALDH2,-0.11,0.15605,AMP_AD_MAYO_CBE_ALL,AD,Human
ALDH4A1,-0.37,0.00010,AMP_AD_MAYO_CBE_ALL,AD,Human
ALDH5A1,-0.19,0.00016,AMP_AD_MAYO_CBE_ALL,AD,Human
ALDH7A1,-0.26,0.00342,AMP_AD_MAYO_CBE_ALL,AD,Human
ALDH9A1,-0.06,0.42188,AMP_AD_MAYO_CBE_ALL,AD,Human
ALDOA,-0.01,0.72842,AMP_AD_MAYO_CBE_ALL,AD,Human
ALOX12,-0.01,0.82200,AMP_AD_MAYO_CBE_ALL,AD,Human
ALOX15B,0.70,0.00226,AMP_AD_MAYO_CBE_ALL,AD,Human
ALOX5,0.46,0.00113,AMP_AD_MAYO_CBE_ALL,AD,Human
ALS2,-0.13,0.00215,AMP_AD_MAYO_CBE_ALL,AD,Human
AMBRA1,-0.04,0.30170,AMP_AD_MAYO_CBE_ALL,AD,Human
AMOT,-0.03,0.74017,AMP_AD_MAYO_CBE_ALL,AD,Human
ANAPC10,-0.11,0.00074,AMP_AD_MAYO_CBE_ALL,AD,Human
ANAPC5,-0.08,0.07197,AMP_AD_MAYO_CBE_ALL,AD,Human
ANGPT1,0.34,0.00510,AMP_AD_MAYO_CBE_ALL,AD,Human
ANGPT2,0.77,0.00009,AMP_AD_MAYO_CBE_ALL,AD,Human
ANGPTL4,0.39,0.04536,AMP_AD_MAYO_CBE_ALL,AD,Human
ANPEP,0.37,0.00617,AMP_AD_MAYO_CBE_ALL,AD,Human
AOX1,-0.01,0.96770,AMP_AD_MAYO_CBE_ALL,AD,Human
AP2M1,-0.01,0.86365,AMP_AD_MAYO_CBE_ALL,AD,Human
APAF1,0.12,0.00228,AMP_AD_MAYO_CBE_ALL,AD,Human
APBB1,0.07,0.04405,AMP_AD_MAYO_CBE_ALL,AD,Human
APBB1IP,0.20,0.18097,AMP_AD_MAYO_CBE_ALL,AD,Human
APC2,-0.02,0.60818,AMP_AD_MAYO_CBE_ALL,AD,Human
APH1A,-0.13,0.01010,AMP_AD_MAYO_CBE_ALL,AD,Human
APOE,-0.24,0.00885,AMP_AD_MAYO_CBE_ALL,AD,Human
APP,0.06,0.14925,AMP_AD_MAYO_CBE_ALL,AD,Human
APPL1,0.09,0.00086,AMP_AD_MAYO_CBE_ALL,AD,Human
APRT,-0.33,0.00018,AMP_AD_MAYO_CBE_ALL,AD,Human
AQP1,0.20,0.31735,AMP_AD_MAYO_CBE_ALL,AD,Human
AQP4,0.40,0.00203,AMP_AD_MAYO_CBE_ALL,AD,Human
AR,0.17,0.14680,AMP_AD_MAYO_CBE_ALL,AD,Human
ARAF,0.02,0.72372,AMP_AD_MAYO_CBE_ALL,AD,Human
ARC,0.06,0.64125,AMP_AD_MAYO_CBE_ALL,AD,Human
ARF1,-0.06,0.02972,AMP_AD_MAYO_CBE_ALL,AD,Human
ARF6,0.11,0.00469,AMP_AD_MAYO_CBE_ALL,AD,Human
ARHGAP35,0.03,0.46300,AMP_AD_MAYO_CBE_ALL,AD,Human
ARHGDIA,0.03,0.44288,AMP_AD_MAYO_CBE_ALL,AD,Human
ARNT,-0.03,0.30641,AMP_AD_MAYO_CBE_ALL,AD,Human
ARNT2,-0.09,0.08894,AMP_AD_MAYO_CBE_ALL,AD,Human
ARRB1,0.31,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
ASL,-0.06,0.23048,AMP_AD_MAYO_CBE_ALL,AD,Human
ASNS,-0.21,0.00091,AMP_AD_MAYO_CBE_ALL,AD,Human
ASPA,-0.19,0.19274,AMP_AD_MAYO_CBE_ALL,AD,Human
ASS1,-0.03,0.76550,AMP_AD_MAYO_CBE_ALL,AD,Human
ATF1,0.12,0.05269,AMP_AD_MAYO_CBE_ALL,AD,Human
ATF2,0.01,0.82609,AMP_AD_MAYO_CBE_ALL,AD,Human
ATF4,0.08,0.17168,AMP_AD_MAYO_CBE_ALL,AD,Human
ATF6,0.27,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
ATG12,-0.07,0.01057,AMP_AD_MAYO_CBE_ALL,AD,Human
ATG13,-0.21,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
ATG16L1,-0.01,0.84076,AMP_AD_MAYO_CBE_ALL,AD,Human
ATG3,-0.03,0.48215,AMP_AD_MAYO_CBE_ALL,AD,Human
ATG5,0.17,0.00001,AMP_AD_MAYO_CBE_ALL,AD,Human
ATG7,0.13,0.00084,AMP_AD_MAYO_CBE_ALL,AD,Human
ATIC,-0.03,0.44817,AMP_AD_MAYO_CBE_ALL,AD,Human
ATM,0.07,0.31623,AMP_AD_MAYO_CBE_ALL,AD,Human
ATP2A1,-0.03,0.78691,AMP_AD_MAYO_CBE_ALL,AD,Human
ATP2B1,-0.02,0.76066,AMP_AD_MAYO_CBE_ALL,AD,Human
ATP6V1A,0.09,0.15996,AMP_AD_MAYO_CBE_ALL,AD,Human
ATP6V1B1,-0.05,0.67151,AMP_AD_MAYO_CBE_ALL,AD,Human
ATP6V1D,0.03,0.39549,AMP_AD_MAYO_CBE_ALL,AD,Human
ATP6V1E1,0.02,0.66438,AMP_AD_MAYO_CBE_ALL,AD,Human
ATP6V1F,-0.12,0.00097,AMP_AD_MAYO_CBE_ALL,AD,Human
ATP6V1H,-0.03,0.56985,AMP_AD_MAYO_CBE_ALL,AD,Human
ATR,-0.21,0.00002,AMP_AD_MAYO_CBE_ALL,AD,Human
AUH,-0.01,0.71685,AMP_AD_MAYO_CBE_ALL,AD,Human
AXIN1,0.16,0.00348,AMP_AD_MAYO_CBE_ALL,AD,Human
B2M,0.26,0.00336,AMP_AD_MAYO_CBE_ALL,AD,Human
BACE1,0.13,0.08639,AMP_AD_MAYO_CBE_ALL,AD,Human
BAD,-0.04,0.36234,AMP_AD_MAYO_CBE_ALL,AD,Human
BAK1,-0.08,0.04695,AMP_AD_MAYO_CBE_ALL,AD,Human
BAX,0.06,0.16108,AMP_AD_MAYO_CBE_ALL,AD,Human
BBC3,0.11,0.11651,AMP_AD_MAYO_CBE_ALL,AD,Human
BCAR1,0.14,0.00618,AMP_AD_MAYO_CBE_ALL,AD,Human
BCAT1,0.14,0.08652,AMP_AD_MAYO_CBE_ALL,AD,Human
BCL10,-0.11,0.01752,AMP_AD_MAYO_CBE_ALL,AD,Human
BCL2,0.03,0.69193,AMP_AD_MAYO_CBE_ALL,AD,Human
BCL2L1,-0.02,0.55649,AMP_AD_MAYO_CBE_ALL,AD,Human
BCL2L11,-0.01,0.83956,AMP_AD_MAYO_CBE_ALL,AD,Human
BCL2L2,-0.02,0.62519,AMP_AD_MAYO_CBE_ALL,AD,Human
BCL6,0.17,0.06644,AMP_AD_MAYO_CBE_ALL,AD,Human
BDH1,-0.42,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
BDNF,-0.31,0.02198,AMP_AD_MAYO_CBE_ALL,AD,Human
BID,-0.26,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
BIRC2,0.26,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
BLNK,-0.03,0.78159,AMP_AD_MAYO_CBE_ALL,AD,Human
BMF,0.12,0.30329,AMP_AD_MAYO_CBE_ALL,AD,Human
BMP2,0.12,0.19339,AMP_AD_MAYO_CBE_ALL,AD,Human
BMP4,-0.15,0.40022,AMP_AD_MAYO_CBE_ALL,AD,Human
BMP7,-0.10,0.25052,AMP_AD_MAYO_CBE_ALL,AD,Human
BMPR1A,0.06,0.19148,AMP_AD_MAYO_CBE_ALL,AD,Human
BMPR1B,-0.01,0.92748,AMP_AD_MAYO_CBE_ALL,AD,Human
BMPR2,0.31,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
BNIP3,0.06,0.14335,AMP_AD_MAYO_CBE_ALL,AD,Human
BOC,-0.02,0.79354,AMP_AD_MAYO_CBE_ALL,AD,Human
BPGM,0.00,0.90526,AMP_AD_MAYO_CBE_ALL,AD,Human
BRAF,0.08,0.05015,AMP_AD_MAYO_CBE_ALL,AD,Human
BRCA1,0.08,0.34596,AMP_AD_MAYO_CBE_ALL,AD,Human
BTC,-0.09,0.46125,AMP_AD_MAYO_CBE_ALL,AD,Human
BTK,0.19,0.16975,AMP_AD_MAYO_CBE_ALL,AD,Human
BUB3,-0.11,0.00265,AMP_AD_MAYO_CBE_ALL,AD,Human
C3,0.25,0.13025,AMP_AD_MAYO_CBE_ALL,AD,Human
C4A,0.28,0.08559,AMP_AD_MAYO_CBE_ALL,AD,Human
C5,-0.45,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CA2,0.46,0.00025,AMP_AD_MAYO_CBE_ALL,AD,Human
CA4,0.51,0.00013,AMP_AD_MAYO_CBE_ALL,AD,Human
CAB39,0.18,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CACNA1A,-0.20,0.00829,AMP_AD_MAYO_CBE_ALL,AD,Human
CACNA1B,0.15,0.05262,AMP_AD_MAYO_CBE_ALL,AD,Human
CACNA1C,0.21,0.00319,AMP_AD_MAYO_CBE_ALL,AD,Human
CACNA1D,-0.14,0.01189,AMP_AD_MAYO_CBE_ALL,AD,Human
CACNA1I,0.02,0.81501,AMP_AD_MAYO_CBE_ALL,AD,Human
CAD,-0.09,0.06865,AMP_AD_MAYO_CBE_ALL,AD,Human
CALCRL,0.26,0.00558,AMP_AD_MAYO_CBE_ALL,AD,Human
CALR,0.23,0.00031,AMP_AD_MAYO_CBE_ALL,AD,Human
CAMK2A,0.02,0.82217,AMP_AD_MAYO_CBE_ALL,AD,Human
CAMK4,0.30,0.00215,AMP_AD_MAYO_CBE_ALL,AD,Human
CAMKK2,0.14,0.11280,AMP_AD_MAYO_CBE_ALL,AD,Human
CAPN1,-0.06,0.10786,AMP_AD_MAYO_CBE_ALL,AD,Human
CAPN2,0.13,0.05630,AMP_AD_MAYO_CBE_ALL,AD,Human
CARD11,0.03,0.80365,AMP_AD_MAYO_CBE_ALL,AD,Human
CASP1,0.23,0.05861,AMP_AD_MAYO_CBE_ALL,AD,Human
CASP12,0.63,0.00173,AMP_AD_MAYO_CBE_ALL,AD,Human
CASP3,-0.05,0.29733,AMP_AD_MAYO_CBE_ALL,AD,Human
CASP6,0.05,0.60713,AMP_AD_MAYO_CBE_ALL,AD,Human
CASP7,0.18,0.09715,AMP_AD_MAYO_CBE_ALL,AD,Human
CASP8,-0.07,0.36499,AMP_AD_MAYO_CBE_ALL,AD,Human
CASP9,-0.05,0.17593,AMP_AD_MAYO_CBE_ALL,AD,Human
CAT,0.23,0.01704,AMP_AD_MAYO_CBE_ALL,AD,Human
CAV1,0.23,0.06277,AMP_AD_MAYO_CBE_ALL,AD,Human
CBL,0.10,0.01970,AMP_AD_MAYO_CBE_ALL,AD,Human
CBLB,-0.19,0.00005,AMP_AD_MAYO_CBE_ALL,AD,Human
CBR1,-0.04,0.61968,AMP_AD_MAYO_CBE_ALL,AD,Human
CBS,0.10,0.61687,AMP_AD_MAYO_CBE_ALL,AD,Human
CBX3,0.03,0.28319,AMP_AD_MAYO_CBE_ALL,AD,Human
CCL2,0.84,0.00202,AMP_AD_MAYO_CBE_ALL,AD,Human
CCNA2,0.44,0.00226,AMP_AD_MAYO_CBE_ALL,AD,Human
CCND1,-0.02,0.83627,AMP_AD_MAYO_CBE_ALL,AD,Human
CCND2,-0.09,0.34944,AMP_AD_MAYO_CBE_ALL,AD,Human
CCNE1,0.00,0.95887,AMP_AD_MAYO_CBE_ALL,AD,Human
CCNG1,0.14,0.01649,AMP_AD_MAYO_CBE_ALL,AD,Human
CCNG2,0.17,0.00123,AMP_AD_MAYO_CBE_ALL,AD,Human
CCNH,-0.10,0.06753,AMP_AD_MAYO_CBE_ALL,AD,Human
CCR1,0.59,0.00445,AMP_AD_MAYO_CBE_ALL,AD,Human
CCS,-0.30,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CD14,0.32,0.05093,AMP_AD_MAYO_CBE_ALL,AD,Human
CD22,-0.22,0.15821,AMP_AD_MAYO_CBE_ALL,AD,Human
CD4,0.07,0.50778,AMP_AD_MAYO_CBE_ALL,AD,Human
CD40,0.04,0.69992,AMP_AD_MAYO_CBE_ALL,AD,Human
CD44,0.46,0.02848,AMP_AD_MAYO_CBE_ALL,AD,Human
CD81,-0.11,0.05402,AMP_AD_MAYO_CBE_ALL,AD,Human
CD86,0.48,0.00527,AMP_AD_MAYO_CBE_ALL,AD,Human
CDA,0.38,0.00621,AMP_AD_MAYO_CBE_ALL,AD,Human
CDC14B,-0.24,0.00058,AMP_AD_MAYO_CBE_ALL,AD,Human
CDC25A,0.34,0.00110,AMP_AD_MAYO_CBE_ALL,AD,Human
CDC37,-0.12,0.00028,AMP_AD_MAYO_CBE_ALL,AD,Human
CDC42,-0.09,0.00235,AMP_AD_MAYO_CBE_ALL,AD,Human
CDC6,0.20,0.05998,AMP_AD_MAYO_CBE_ALL,AD,Human
CDC7,-0.15,0.02808,AMP_AD_MAYO_CBE_ALL,AD,Human
CDH1,-0.14,0.37348,AMP_AD_MAYO_CBE_ALL,AD,Human
CDH5,0.16,0.15160,AMP_AD_MAYO_CBE_ALL,AD,Human
CDIPT,-0.15,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CDK2,0.13,0.21846,AMP_AD_MAYO_CBE_ALL,AD,Human
CDK4,0.16,0.00200,AMP_AD_MAYO_CBE_ALL,AD,Human
CDK5,-0.04,0.55453,AMP_AD_MAYO_CBE_ALL,AD,Human
CDK5R1,0.00,0.94244,AMP_AD_MAYO_CBE_ALL,AD,Human
CDK6,-0.25,0.00614,AMP_AD_MAYO_CBE_ALL,AD,Human
CDK7,-0.09,0.01359,AMP_AD_MAYO_CBE_ALL,AD,Human
CDK9,-0.21,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CDKN1A,0.47,0.00920,AMP_AD_MAYO_CBE_ALL,AD,Human
CDKN1B,0.20,0.00040,AMP_AD_MAYO_CBE_ALL,AD,Human
CDKN2A,-0.12,0.41206,AMP_AD_MAYO_CBE_ALL,AD,Human
CDKN2B,0.00,0.97247,AMP_AD_MAYO_CBE_ALL,AD,Human
CDKN2C,0.03,0.73475,AMP_AD_MAYO_CBE_ALL,AD,Human
CDKN2D,0.18,0.00266,AMP_AD_MAYO_CBE_ALL,AD,Human
CEBPA,0.10,0.19409,AMP_AD_MAYO_CBE_ALL,AD,Human
CEBPB,0.38,0.00042,AMP_AD_MAYO_CBE_ALL,AD,Human
CFL1,-0.10,0.00057,AMP_AD_MAYO_CBE_ALL,AD,Human
CFLAR,-0.23,0.00255,AMP_AD_MAYO_CBE_ALL,AD,Human
CHD8,0.01,0.84034,AMP_AD_MAYO_CBE_ALL,AD,Human
CHDH,0.04,0.66651,AMP_AD_MAYO_CBE_ALL,AD,Human
CHEK1,-0.06,0.48605,AMP_AD_MAYO_CBE_ALL,AD,Human
CHRM1,-0.06,0.63030,AMP_AD_MAYO_CBE_ALL,AD,Human
CHRM3,0.12,0.34477,AMP_AD_MAYO_CBE_ALL,AD,Human
CHRNA4,-0.04,0.64680,AMP_AD_MAYO_CBE_ALL,AD,Human
CHUK,0.07,0.05716,AMP_AD_MAYO_CBE_ALL,AD,Human
CKB,-0.19,0.02720,AMP_AD_MAYO_CBE_ALL,AD,Human
CLIP1,0.06,0.14364,AMP_AD_MAYO_CBE_ALL,AD,Human
CLOCK,0.14,0.00005,AMP_AD_MAYO_CBE_ALL,AD,Human
CLTA,-0.11,0.00001,AMP_AD_MAYO_CBE_ALL,AD,Human
CMPK2,-0.01,0.95409,AMP_AD_MAYO_CBE_ALL,AD,Human
CNGB1,0.13,0.51651,AMP_AD_MAYO_CBE_ALL,AD,Human
CNOT1,0.36,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CNOT10,-0.13,0.00008,AMP_AD_MAYO_CBE_ALL,AD,Human
CNOT6L,0.12,0.00247,AMP_AD_MAYO_CBE_ALL,AD,Human
CNR1,-0.19,0.08103,AMP_AD_MAYO_CBE_ALL,AD,Human
COL1A1,0.01,0.97011,AMP_AD_MAYO_CBE_ALL,AD,Human
COMT,-0.11,0.02736,AMP_AD_MAYO_CBE_ALL,AD,Human
COX11,-0.02,0.61604,AMP_AD_MAYO_CBE_ALL,AD,Human
COX15,-0.13,0.00684,AMP_AD_MAYO_CBE_ALL,AD,Human
COX17,-0.04,0.40920,AMP_AD_MAYO_CBE_ALL,AD,Human
COX4I1,-0.16,0.00001,AMP_AD_MAYO_CBE_ALL,AD,Human
COX5A,-0.08,0.03526,AMP_AD_MAYO_CBE_ALL,AD,Human
COX5B,-0.14,0.00019,AMP_AD_MAYO_CBE_ALL,AD,Human
COX6A1,-0.11,0.03244,AMP_AD_MAYO_CBE_ALL,AD,Human
COX6C,-0.22,0.00001,AMP_AD_MAYO_CBE_ALL,AD,Human
COX7A1,0.07,0.27824,AMP_AD_MAYO_CBE_ALL,AD,Human
COX7B,-0.11,0.00442,AMP_AD_MAYO_CBE_ALL,AD,Human
COX7C,-0.04,0.18144,AMP_AD_MAYO_CBE_ALL,AD,Human
COX8A,-0.10,0.03510,AMP_AD_MAYO_CBE_ALL,AD,Human
CP,1.09,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CPS1,-0.27,0.00647,AMP_AD_MAYO_CBE_ALL,AD,Human
CPT1A,0.01,0.91676,AMP_AD_MAYO_CBE_ALL,AD,Human
CPT1B,0.20,0.06648,AMP_AD_MAYO_CBE_ALL,AD,Human
CPT1C,0.09,0.12817,AMP_AD_MAYO_CBE_ALL,AD,Human
CPT2,-0.24,0.00607,AMP_AD_MAYO_CBE_ALL,AD,Human
CRAT,-0.02,0.65320,AMP_AD_MAYO_CBE_ALL,AD,Human
CREB1,0.09,0.01557,AMP_AD_MAYO_CBE_ALL,AD,Human
CREB3,0.04,0.08829,AMP_AD_MAYO_CBE_ALL,AD,Human
CREBBP,0.07,0.08867,AMP_AD_MAYO_CBE_ALL,AD,Human
CRH,0.30,0.21227,AMP_AD_MAYO_CBE_ALL,AD,Human
CRHR1,-0.02,0.85388,AMP_AD_MAYO_CBE_ALL,AD,Human
CRK,0.18,0.00002,AMP_AD_MAYO_CBE_ALL,AD,Human
CRTC2,-0.09,0.05471,AMP_AD_MAYO_CBE_ALL,AD,Human
CS,-0.11,0.00058,AMP_AD_MAYO_CBE_ALL,AD,Human
CSF1,0.10,0.31129,AMP_AD_MAYO_CBE_ALL,AD,Human
CSF1R,0.20,0.16633,AMP_AD_MAYO_CBE_ALL,AD,Human
CSF2RB,0.55,0.00081,AMP_AD_MAYO_CBE_ALL,AD,Human
CSF3R,0.40,0.00422,AMP_AD_MAYO_CBE_ALL,AD,Human
CSNK1D,0.16,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CSNK2A1,0.07,0.00217,AMP_AD_MAYO_CBE_ALL,AD,Human
CTBP1,0.04,0.24733,AMP_AD_MAYO_CBE_ALL,AD,Human
CTH,-0.22,0.00017,AMP_AD_MAYO_CBE_ALL,AD,Human
CTNNA1,0.18,0.01060,AMP_AD_MAYO_CBE_ALL,AD,Human
CTNNB1,0.23,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CTNNBIP1,-0.11,0.03086,AMP_AD_MAYO_CBE_ALL,AD,Human
CTNND1,0.07,0.11428,AMP_AD_MAYO_CBE_ALL,AD,Human
CTPS1,0.12,0.04173,AMP_AD_MAYO_CBE_ALL,AD,Human
CTSD,-0.02,0.58070,AMP_AD_MAYO_CBE_ALL,AD,Human
CUL1,0.06,0.05480,AMP_AD_MAYO_CBE_ALL,AD,Human
CUL2,0.07,0.03858,AMP_AD_MAYO_CBE_ALL,AD,Human
CUL3,0.25,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CX3CL1,0.01,0.93222,AMP_AD_MAYO_CBE_ALL,AD,Human
CXCL1,0.71,0.00213,AMP_AD_MAYO_CBE_ALL,AD,Human
CXCL12,0.05,0.72226,AMP_AD_MAYO_CBE_ALL,AD,Human
CXCR4,0.33,0.04076,AMP_AD_MAYO_CBE_ALL,AD,Human
CXXC4,0.14,0.04479,AMP_AD_MAYO_CBE_ALL,AD,Human
CYBA,0.37,0.00155,AMP_AD_MAYO_CBE_ALL,AD,Human
CYBB,0.51,0.00172,AMP_AD_MAYO_CBE_ALL,AD,Human
CYC1,0.01,0.82484,AMP_AD_MAYO_CBE_ALL,AD,Human
CYCS,0.02,0.62405,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP11A1,0.25,0.08171,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP17A1,-0.45,0.00227,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP1B1,0.81,0.00002,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP27A1,-0.16,0.11798,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP2C8,-0.70,0.00000,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP2E1,-0.20,0.02277,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP2J2,0.09,0.38387,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP2U1,-0.18,0.00022,AMP_AD_MAYO_CBE_ALL,AD,Human
CYP4F3,-0.26,0.20618,AMP_AD_MAYO_CBE_ALL,AD,Human
DAB1,0.05,0.47003,AMP_AD_MAYO_CBE_ALL,AD,Human
DAXX,0.06,0.09160,AMP_AD_MAYO_CBE_ALL,AD,Human
DBF4,-0.04,0.44821,AMP_AD_MAYO_CBE_ALL,AD,Human
DBH,-0.17,0.08058,AMP_AD_MAYO_CBE_ALL,AD,Human
DBI,-0.02,0.79264,AMP_AD_MAYO_CBE_ALL,AD,Human
DCC,-0.46,0.00001,AMP_AD_MAYO_CBE_ALL,AD,Human
DCK,0.10,0.02363,AMP_AD_MAYO_CBE_ALL,AD,Human
DCT,-0.35,0.00320,AMP_AD_MAYO_CBE_ALL,AD,Human
DCTD,0.02,0.57719,AMP_AD_MAYO_CBE_ALL,AD,Human
DDB2,-0.06,0.32916,AMP_AD_MAYO_CBE_ALL,AD,Human
DDIT3,-0.18,0.01538,AMP_AD_MAYO_CBE_ALL,AD,Human
DDIT4,0.48,0.00052,AMP_AD_MAYO_CBE_ALL,AD,Human
DDX5,0.04,0.30206,AMP_AD_MAYO_CBE_ALL,AD,Human
DERL1,0.00,0.89919,AMP_AD_MAYO_CBE_ALL,AD,Human
DHODH,0.02,0.70572,AMP_AD_MAYO_CBE_ALL,AD,Human
DIAPH1,0.02,0.76938,AMP_AD_MAYO_CBE_ALL,AD,Human
DIO2,-0.15,0.30021,AMP_AD_MAYO_CBE_ALL,AD,Human
DLAT,0.04,0.35955,AMP_AD_MAYO_CBE_ALL,AD,Human
DLD,-0.01,0.72947,AMP_AD_MAYO_CBE_ALL,AD,Human
