Gene,WikiPathway,BioPlanet,KEGG,Datasets,Total
GYS1,1,1,1,WBK,3
HRAS,1,1,1,WBK,3
INS,1,1,1,WBK,3
INSR,1,1,1,WBK,3
IRS1,1,1,1,WBK,3
IRS2,1,1,1,WBK,3
IRS4,1,1,0,WB,2
LPL,1,1,1,WBK,3
MAP2K1,1,1,1,WBK,3
MAP2K2,1,1,0,WB,2
MAP2K3,1,1,1,WBK,3
MAP2K4,1,1,1,WBK,3
MAP2K5,1,1,1,WBK,3
MAP2K6,1,1,1,WBK,3
MAP2K7,1,1,1,WBK,3
MAP3K1,1,1,1,WBK,3
MAP3K10,1,1,1,WBK,3
MAP3K11,1,1,1,WBK,3
MAP3K12,1,1,0,WB,2
MAP3K13,1,1,0,WB,2
MAP3K14,1,1,1,WBK,3
MAP3K2,1,1,1,WBK,3
MAP3K3,1,1,1,WBK,3
MAP3K4,1,1,0,WB,2
MAP3K5,1,1,1,WBK,3
MAP3K6,1,1,0,WB,2
MAP3K7,1,1,1,WBK,3
MAP3K8,1,1,1,WBK,3
MAP3K9,1,1,0,WB,2
MAP4K1,1,1,0,WB,2
MAP4K2,1,1,0,WB,2
MAP4K3,1,1,0,WB,2
MAP4K4,1,1,0,WB,2
MAP4K5,1,1,0,WB,2
MAPK1,1,1,1,WBK,3
MAPK10,1,1,0,WB,2
MAPK11,1,1,0,WB,2
MAPK12,1,1,0,WB,2
MAPK13,1,1,0,WB,2
MAPK14,1,1,1,WBK,3
MAPK3,1,1,0,WB,2
MAPK4,1,1,0,WB,2
MAPK6,1,1,0,WB,2
MAPK7,1,1,1,WBK,3
MAPK8,1,1,1,WBK,3
MAPK9,1,1,0,WB,2
MAPKAP1,1,1,1,WBK,3
MINK1,1,1,0,WB,2
MLST8,1,1,1,WBK,3
MLXIPL,1,1,0,WB,2
MTOR,1,1,1,WBK,3
NR1H3,1,1,1,WBK,3
PDPK1,1,1,1,WBK,3
PIK3C2A,1,1,1,WBK,3
PIK3C2G,1,1,0,WB,2
PIK3C3,1,1,1,WBK,3
PIK3CA,1,1,1,WBK,3
PIK3CB,1,1,0,WB,2
PIK3CD,1,1,0,WB,2
PIK3CG,1,1,0,WB,2
PIK3R1,1,1,1,WBK,3
PIK3R2,1,1,0,WB,2
PIK3R3,1,1,0,WB,2
PIK3R4,1,1,1,WBK,3
PRKAA1,1,1,1,WBK,3
PRKAA2,1,1,0,WB,2
PRKAB1,1,1,0,WB,2
PRKAB2,1,1,0,WB,2
PRKAG1,1,1,0,WB,2
PRKAG2,1,1,1,WBK,3
PRKAG3,1,1,0,WB,2
PTPN1,1,1,1,WBK,3
RAF1,1,1,1,WBK,3
RAPGEF1,1,1,1,WBK,3
RHEB,1,1,1,WBK,3
RHOQ,1,1,1,WBK,3
RICTOR,1,1,1,WBK,3
RPS6KA1,1,1,0,WB,2
RPS6KA2,1,1,0,WB,2
RPS6KA3,1,1,0,WB,2
RPS6KA4,1,1,0,WB,2
RPS6KA5,1,1,1,WBK,3
RPS6KA6,1,1,1,WBK,3
RPS6KB1,1,1,1,WBK,3
RPS6KB2,1,1,0,WB,2
RPTOR,1,1,1,WBK,3
RXRA,1,1,1,WBK,3
SCD,1,1,1,WBK,3
SESN3,1,1,0,WB,2
SHC1,1,1,1,WBK,3
SHC2,1,1,1,WBK,3
SHC3,1,1,0,WB,2
SLC16A2,1,0,0,W,1
SLCO1C1,1,1,1,WBK,3
SOS1,1,1,1,WBK,3
SOS2,1,1,0,WB,2
SREBF1,1,1,1,WBK,3
SREBF2,1,1,0,WB,2
THRA,1,1,1,WBK,3
THRB,1,1,1,WBK,3
TRIP10,1,1,1,WBK,3
TSC1,1,1,1,WBK,3
TSC2,1,1,1,WBK,3
ACLY,1,1,1,WBK,3
ACO1,1,1,1,WBK,3
CS,1,1,1,WBK,3
DLST,1,1,1,WBK,3
FH,1,1,1,WBK,3
IDH1,1,1,1,WBK,3
IDH3A,1,1,1,WBK,3
OGDH,1,1,1,WBK,3
SDHA,1,1,1,WBK,3
SUCLG2,1,1,1,WBK,3
ACAA1,1,1,1,WBK,3
ACADM,1,1,1,WBK,3
ACO2,1,1,0,WB,2
ACSS1,1,1,0,WB,2
ADH1C,1,1,0,WB,2
ADH4,1,1,0,WB,2
ADH5,1,1,0,WB,2
ADH7,1,1,0,WB,2
ALDH18A1,1,1,1,WBK,3
ALDH1A1,1,1,0,WB,2
ALDH7A1,1,1,1,WBK,3
AOC3,1,1,0,WB,2
ARG1,1,1,0,WB,2
ARG2,1,1,0,WB,2
ASNS,1,1,1,WBK,3
ASS1,1,1,1,WBK,3
AUH,1,1,1,WBK,3
BCAT1,1,1,1,WBK,3
BHMT,1,1,1,WBK,3
CAD,1,1,1,WBK,3
CBS,1,1,1,WBK,3
CPS1,1,1,1,WBK,3
CTH,1,1,1,WBK,3
DBH,1,1,1,WBK,3
DDC,1,1,1,WBK,3
EHHADH,1,1,1,WBK,3
EPRS1,1,1,0,WB,2
FAH,1,1,1,WBK,3
FARSB,1,0,0,W,1
FTCD,1,1,0,WB,2
G6PC2,1,1,0,WB,2
GCLM,1,1,0,WB,2
GLS,1,1,0,WB,2
GLUD1,1,1,1,WBK,3
GLUL,1,1,1,WBK,3
GPT2,1,1,0,WB,2
GSR,1,1,1,WBK,3
GSS,1,1,1,WBK,3
HADH,1,1,1,WBK,3
HAL,1,1,0,WB,2
HDC,1,1,0,WB,2
HIBADH,1,1,1,WBK,3
HIBCH,1,1,1,WBK,3
HMGCL,1,1,1,WBK,3
HMGCS2,1,1,0,WB,2
HNMT,1,1,0,WB,2
IARS1,1,1,0,WB,2
LARS2,1,1,0,WB,2
MAOA,1,1,1,WBK,3
MARS2,1,0,0,W,1
MCCC1,1,1,1,WBK,3
MPST,1,1,1,WBK,3
MMUT,1,1,0,WB,2
OAT,1,1,1,WBK,3
ODC1,1,1,1,WBK,3
OTC,1,1,1,WBK,3
P4HA2,1,1,0,WB,2
PDHX,1,1,0,WB,2
PDK4,1,1,0,WB,2
PNMT,1,1,1,WBK,3
PPM1L,1,1,0,WB,2
PYCR1,1,1,0,WB,2
RARS1,1,0,0,W,1
SDS,1,1,1,WBK,3
SMS,1,1,1,WBK,3
SRM,1,1,1,WBK,3
SUCLG1,1,1,0,WB,2
TAT,1,1,1,WBK,3
TDO2,1,1,1,WBK,3
TH,1,1,1,WBK,3
TPH1,1,1,0,WB,2
TPO,1,1,1,WBK,3
VARS1,1,1,0,WB,2
WARS1,1,1,0,WB,2
ACACA,1,1,1,WBK,3
ACACB,1,1,1,WBK,3
BTD,1,1,0,WB,2
HLCS,1,1,0,WB,2
MCCC2,1,1,0,WB,2
PCCA,1,1,0,WB,2
PCCB,1,1,0,WB,2
AKT3,1,1,1,WBK,3
ANGPT1,1,1,1,WBK,3
ANGPT2,1,1,1,WBK,3
ANGPT4,1,1,0,WB,2
ATF2,1,1,1,WBK,3
ATF4,1,1,1,WBK,3
ATF6B,1,0,0,W,1
BAD,1,1,1,WBK,3
BCL2,1,1,1,WBK,3
BCL2L1,1,1,1,WBK,3
BCL2L11,1,1,1,WBK,3
BDNF,1,1,1,WBK,3
BRCA1,1,1,1,WBK,3
C8orf44-SGK3,1,0,0,W,1
CASP9,1,1,1,WBK,3
CCND1,1,1,1,WBK,3
CCND2,1,1,1,WBK,3
CCND3,1,1,0,WB,2
CCNE1,1,1,1,WBK,3
CCNE2,1,1,0,WB,2
CD19,1,1,1,WBK,3
CDC37,1,1,1,WBK,3
CDK2,1,1,1,WBK,3
CDK4,1,1,1,WBK,3
CDK6,1,1,1,WBK,3
CDKN1A,1,1,1,WBK,3
CDKN1B,1,1,1,WBK,3
CHAD,1,1,0,WB,2
CHRM1,1,1,1,WBK,3
CHRM2,1,1,0,WB,2
CHUK,1,1,1,WBK,3
COL1A1,1,1,1,WBK,3
COL1A2,1,1,0,WB,2
COL2A1,1,1,0,WB,2
COL4A1,1,1,0,WB,2
COL4A2,1,1,0,WB,2
COL4A3,1,1,0,WB,2
COL4A4,1,1,0,WB,2
COL4A5,1,1,0,WB,2
COL4A6,1,1,0,WB,2
COL6A1,1,1,0,WB,2
COL6A2,1,1,0,WB,2
COL6A3,1,1,0,WB,2
COL6A5,1,1,0,WB,2
COL6A6,1,1,0,WB,2
COL9A1,1,1,0,WB,2
COL9A2,1,1,0,WB,2
COL9A3,1,1,0,WB,2
COMP,1,1,0,WB,2
CREB1,1,1,1,WBK,3
CREB3,1,1,1,WBK,3
CREB3L1,1,1,0,WB,2
CREB3L2,1,1,0,WB,2
CREB3L3,1,1,0,WB,2
CREB3L4,1,1,0,WB,2
CREB5,1,1,0,WB,2
CSF1,1,1,1,WBK,3
CSF1R,1,1,1,WBK,3
CSF3,1,1,1,WBK,3
CSF3R,1,1,1,WBK,3
CSH1,1,1,1,WBK,3
CSH2,1,0,0,W,1
DDIT4,1,1,1,WBK,3
EFNA1,1,1,1,WBK,3
EFNA2,1,1,0,WB,2
EFNA3,1,1,0,WB,2
EFNA4,1,1,0,WB,2
EFNA5,1,1,0,WB,2
EGF,1,1,1,WBK,3
EGFR,1,1,1,WBK,3
EIF4B,1,1,1,WBK,3
EIF4E1B,1,1,0,WB,2
EIF4E2,1,1,0,WB,2
EPHA2,1,1,1,WBK,3
EPO,1,1,1,WBK,3
EPOR,1,1,0,WB,2
F2R,1,1,1,WBK,3
FASLG,1,1,1,WBK,3
FGF1,1,1,1,WBK,3
FGF10,1,1,0,WB,2
FGF11,1,1,0,WB,2
FGF12,1,1,0,WB,2
FGF13,1,1,0,WB,2
FGF14,1,1,1,WBK,3
FGF17,1,1,0,WB,2
FGF18,1,1,0,WB,2
FGF19,1,1,0,WB,2
FGF2,1,1,1,WBK,3
FGF20,1,1,0,WB,2
FGF21,1,1,1,WBK,3
FGF22,1,1,0,WB,2
FGF23,1,1,0,WB,2
FGF3,1,1,0,WB,2
FGF4,1,1,0,WB,2
FGF5,1,1,0,WB,2
FGF6,1,1,0,WB,2
FGF7,1,1,0,WB,2
FGF8,1,1,0,WB,2
FGF9,1,1,0,WB,2
FGFR1,1,1,1,WBK,3
FGFR2,1,1,1,WBK,3
FGFR3,1,1,1,WBK,3
FGFR4,1,1,0,WB,2
FLT1,1,1,1,WBK,3
FLT3,1,1,1,WBK,3
FLT3LG,1,1,1,WBK,3
FLT4,1,1,1,WBK,3
FN1,1,1,1,WBK,3
G6PC3,1,1,0,WB,2
GH1,1,1,0,WB,2
GH2,1,1,0,WB,2
GHR,1,1,1,WBK,3
GNB1,1,1,0,WB,2
GNB2,1,1,0,WB,2
GNB3,1,1,1,WBK,3
GNB4,1,1,0,WB,2
GNB5,1,1,1,WBK,3
GNG10,1,1,0,WB,2
GNG11,1,1,0,WB,2
GNG12,1,1,0,WB,2
GNG13,1,1,0,WB,2
GNG2,1,1,0,WB,2
GNG3,1,1,0,WB,2
GNG4,1,1,0,WB,2
GNG5,1,1,0,WB,2
GNG7,1,1,0,WB,2
GNG8,1,1,0,WB,2
GNGT1,1,1,0,WB,2
GNGT2,1,1,0,WB,2
GRB2,1,1,1,WBK,3
GYS2,1,1,0,WB,2
HGF,1,1,1,WBK,3
HSP90AA1,1,1,1,WBK,3
HSP90AB1,1,1,0,WB,2
HSP90B1,1,1,1,WBK,3
IBSP,1,1,0,WB,2
IFNA1,1,1,1,WBK,3
IFNA10,1,1,0,WB,2
IFNA13,1,0,0,W,1
IFNA14,1,1,0,WB,2
IFNA16,1,1,0,WB,2
IFNA17,1,1,0,WB,2
IFNA2,1,1,0,WB,2
IFNA21,1,1,0,WB,2
IFNA4,1,1,0,WB,2
IFNA5,1,1,0,WB,2
IFNA6,1,1,0,WB,2
IFNA7,1,1,0,WB,2
IFNA8,1,1,0,WB,2
IFNAR1,1,1,1,WBK,3
IFNAR2,1,1,1,WBK,3
IFNB1,1,1,1,WBK,3
IGF1,1,1,1,WBK,3
IGF1R,1,1,1,WBK,3
IGF2,1,1,1,WBK,3
IKBKB,1,1,1,WBK,3
IKBKG,1,1,1,WBK,3
IL2,1,1,1,WBK,3
IL2RA,1,1,1,WBK,3
IL2RB,1,1,1,WBK,3
IL2RG,1,1,0,WB,2
IL3,1,1,1,WBK,3
IL3RA,1,1,0,WB,2
IL4,1,1,1,WBK,3
IL4R,1,1,0,WB,2
IL6,1,1,1,WBK,3
IL6R,1,1,1,WBK,3
IL7,1,1,0,WB,2
IL7R,1,1,1,WBK,3
ITGA1,1,1,0,WB,2
ITGA10,1,1,0,WB,2
ITGA11,1,1,1,WBK,3
ITGA2,1,1,0,WB,2
ITGA2B,1,1,1,WBK,3
ITGA3,1,1,0,WB,2
ITGA4,1,1,1,WBK,3
ITGA5,1,1,1,WBK,3
ITGA6,1,1,1,WBK,3
ITGA7,1,1,0,WB,2
ITGA8,1,1,0,WB,2
ITGA9,1,1,0,WB,2
ITGAV,1,1,1,WBK,3
ITGB1,1,1,1,WBK,3
ITGB3,1,1,1,WBK,3
ITGB4,1,1,0,WB,2
ITGB5,1,1,0,WB,2
ITGB6,1,1,0,WB,2
ITGB7,1,1,1,WBK,3
ITGB8,1,1,0,WB,2
JAK1,1,1,1,WBK,3
JAK2,1,1,1,WBK,3
JAK3,1,1,1,WBK,3
KDR,1,1,1,WBK,3
KIT,1,1,1,WBK,3
KITLG,1,1,1,WBK,3
KRAS,1,1,1,WBK,3
LAMA1,1,1,0,WB,2
LAMA2,1,1,0,WB,2
LAMA3,1,1,0,WB,2
LAMA4,1,1,0,WB,2
LAMA5,1,1,0,WB,2
LAMB1,1,1,0,WB,2
LAMB2,1,1,0,WB,2
LAMB3,1,1,0,WB,2
LAMB4,1,1,0,WB,2
LAMC1,1,1,1,WBK,3
LAMC2,1,1,0,WB,2
LAMC3,1,1,1,WBK,3
LPAR1,1,1,1,WBK,3
LPAR2,1,1,0,WB,2
LPAR3,1,1,0,WB,2
LPAR4,1,1,0,WB,2
LPAR5,1,0,0,W,1
LPAR6,1,1,1,WBK,3
MCL1,1,1,1,WBK,3
MDM2,1,1,1,WBK,3
MET,1,1,1,WBK,3
MYB,1,1,1,WBK,3
MYC,1,1,1,WBK,3
NFKB1,1,1,1,WBK,3
NGF,1,1,1,WBK,3
NGFR,1,1,1,WBK,3
NOS3,1,1,1,WBK,3
NRAS,1,1,0,WB,2
NTF3,1,1,1,WBK,3
NTF4,1,1,1,WBK,3
NTRK1,1,1,1,WBK,3
NTRK2,1,1,1,WBK,3
OSM,1,1,0,WB,2
OSMR,1,1,0,WB,2
PCK2,1,1,0,WB,2
PDGFA,1,1,1,WBK,3
PDGFB,1,1,1,WBK,3
PDGFC,1,1,0,WB,2
PDGFD,1,1,0,WB,2
PDGFRA,1,1,1,WBK,3
PDGFRB,1,1,1,WBK,3
PGF,1,1,0,WB,2
PHLPP1,1,1,0,WB,2
PHLPP2,1,0,1,WK,2
PIK3AP1,1,1,1,WBK,3
PIK3R5,1,1,0,WB,2
PIK3R6,1,1,1,WBK,3
PKN1,1,1,1,WBK,3
PKN2,1,0,0,W,1
PKN3,1,0,1,WK,2
PPP2CA,1,1,1,WBK,3
PPP2CB,1,1,0,WB,2
PPP2R1A,1,1,0,WB,2
PPP2R1B,1,1,0,WB,2
PPP2R2A,1,1,0,WB,2
PPP2R2B,1,1,0,WB,2
PPP2R2C,1,1,0,WB,2
PPP2R2D,1,0,0,W,1
PPP2R3A,1,1,0,WB,2
PPP2R3B,1,1,1,WBK,3
PPP2R3C,1,0,0,W,1
PPP2R5A,1,1,0,WB,2
PPP2R5B,1,1,0,WB,2
PPP2R5C,1,1,0,WB,2
PPP2R5D,1,1,0,WB,2
PPP2R5E,1,1,0,WB,2
PRKCA,1,1,1,WBK,3
PRL,1,1,1,WBK,3
PRLR,1,1,1,WBK,3
PTEN,1,1,1,WBK,3
PTK2,1,1,1,WBK,3
RAC1,1,1,1,WBK,3
RBL2,1,1,1,WBK,3
RELA,1,1,1,WBK,3
RELN,1,1,1,WBK,3
RPS6,1,1,1,WBK,3
SGK1,1,1,1,WBK,3
SGK2,1,1,0,WB,2
SGK3,1,1,0,WB,2
SPP1,1,1,0,WB,2
STK11,1,1,1,WBK,3
SYK,1,1,1,WBK,3
TCL1A,1,0,0,W,1
TCL1B,1,0,0,W,1
TEK,1,1,1,WBK,3
TGFA,1,1,1,WBK,3
THBS1,1,1,1,WBK,3
THBS2,1,1,0,WB,2
THBS3,1,1,0,WB,2
THBS4,1,1,0,WB,2
THEM4,1,1,1,WBK,3
TLR2,1,1,1,WBK,3
TLR4,1,1,1,WBK,3
TNC,1,1,1,WBK,3
TNN,1,1,0,WB,2
TNR,1,1,0,WB,2
TNXB,1,1,0,WB,2
TP53,1,1,1,WBK,3
VEGFA,1,1,1,WBK,3
VEGFB,1,1,0,WB,2
VEGFC,1,1,0,WB,2
VEGFD,1,0,1,WK,2
VTN,1,1,0,WB,2
VWF,1,1,0,WB,2
ABAT,1,1,1,WBK,3
AGXT,1,1,1,WBK,3
ASL,1,1,1,WBK,3
ASPA,1,1,1,WBK,3
DARS1,1,1,0,WB,2
GAD1,1,1,1,WBK,3
GAD2,1,1,0,WB,2
GPT,1,1,1,WBK,3
ACOX1,1,1,1,WBK,3
CYP1A1,1,1,1,WBK,3
CYP1A2,1,1,0,WB,2
CYP1B1,1,1,1,WBK,3
ESR1,1,1,1,WBK,3
GPAM,1,1,0,WB,2
JUN,1,1,1,WBK,3
NR0B2,1,1,1,WBK,3
PPARA,1,1,1,WBK,3
SP1,1,1,1,WBK,3
STAT3,1,1,1,WBK,3
ACAA2,1,1,1,WBK,3
ACSL1,1,1,1,WBK,3
ACSL3,1,1,0,WB,2
ACSL4,1,1,0,WB,2
ACSL5,1,1,0,WB,2
ACSL6,1,1,0,WB,2
ACSS2,1,1,1,WBK,3
DECR1,1,1,0,WB,2
ECH1,1,1,1,WBK,3
ECHDC1,1,1,1,WBK,3
ECHDC2,1,1,0,WB,2
ECHDC3,1,1,0,WB,2
ECHS1,1,1,1,WBK,3
MECR,1,1,1,WBK,3
PECR,1,1,1,WBK,3
ACADL,1,1,1,WBK,3
ACOX2,1,1,0,WB,2
ACOX3,1,1,0,WB,2
ACSBG1,1,1,0,WB,2
ACSBG2,1,0,0,W,1
ADIPOQ,1,1,1,WBK,3
ANGPTL4,1,1,1,WBK,3
APOA1,1,1,1,WBK,3
APOA2,1,1,1,WBK,3
APOA5,1,1,1,WBK,3
APOC3,1,1,1,WBK,3
AQP7,1,1,0,WB,2
CD36,1,1,1,WBK,3
CPT1A,1,1,1,WBK,3
CPT1B,1,1,1,WBK,3
CPT1C,1,1,1,WBK,3
CPT2,1,1,1,WBK,3
CYP27A1,1,1,1,WBK,3
CYP4A11,1,1,0,WB,2
CYP8B1,1,1,1,WBK,3
DBI,1,1,1,WBK,3
FABP1,1,1,1,WBK,3
FABP2,1,1,1,WBK,3
FABP3,1,1,1,WBK,3
FABP4,1,1,1,WBK,3
FABP5,1,1,0,WB,2
FABP6,1,1,0,WB,2
FABP7,1,1,0,WB,2
FADS2,1,1,1,WBK,3
GK2,1,1,0,WB,2
GK3,1,0,0,W,1
ILK,1,1,1,WBK,3
ME1,1,1,0,WB,2
MMP1,1,1,1,WBK,3
OLR1,1,1,1,WBK,3
PLIN1,1,1,1,WBK,3
PLTP,1,1,1,WBK,3
PPARD,1,1,1,WBK,3
PPARG,1,1,1,WBK,3
RXRB,1,1,0,WB,2
RXRG,1,1,0,WB,2
SCP2,1,1,1,WBK,3
SLC27A1,1,1,0,WB,2
SLC27A2,1,1,1,WBK,3
SLC27A4,1,1,1,WBK,3
SLC27A5,1,1,1,WBK,3
SLC27A6,1,1,0,WB,2
SORBS1,1,1,1,WBK,3
UCP1,1,1,1,WBK,3
ACTL6B,1,0,1,WK,2
ADCY3,1,1,0,WB,2
ADCY8,1,1,0,WB,2
ADRB3,1,1,1,WBK,3
AGRP,1,1,1,WBK,3
AKT1S1,1,1,1,WBK,3
CTNNB1,1,1,1,WBK,3
DIO1,1,1,1,WBK,3
DIO3,1,1,1,WBK,3
DUOX2,1,0,1,WK,2
DUOXA2,1,0,1,WK,2
FRS2,1,1,1,WBK,3
ITPR2,1,1,0,WB,2
IYD,1,1,1,WBK,3
KDM1A,1,1,1,WBK,3
KDM3B,1,0,1,WK,2
KLB,1,1,1,WBK,3
MAFA,1,1,1,WBK,3
MAPKAPK3,1,1,0,WB,2
MC4R,1,1,0,WB,2
MGLL,1,1,1,WBK,3
NHSL1,1,0,0,W,1
NOTCH1,1,1,1,WBK,3
NPPA,1,1,1,WBK,3
NPPB,1,1,1,WBK,3
NPR1,1,1,1,WBK,3
NPY,1,1,1,WBK,3
PAX8,1,1,1,WBK,3
PFKFB2,1,1,1,WBK,3
PLCB1,1,1,1,WBK,3
PNPLA2,1,1,1,WBK,3
POMC,1,1,1,WBK,3
PPARGC1A,1,1,1,WBK,3
PRDM16,1,0,1,WK,2
PRKACA,1,1,1,WBK,3
PRKCQ,1,1,1,WBK,3
PRKG2,1,1,0,WB,2
SECISBP2L,1,0,0,W,1
SHH,1,1,1,WBK,3
SIRT6,1,1,1,WBK,3
SLC16A10,1,1,1,WBK,3
SLC26A4,1,1,1,WBK,3
SLC5A5,1,1,1,WBK,3
SRC,1,1,1,WBK,3
TBC1D4,1,1,1,WBK,3
TG,1,1,1,WBK,3
TRH,1,1,1,WBK,3
TSHB,1,1,0,WB,2
TSHR,1,1,1,WBK,3
TTF1,1,1,1,WBK,3
TTF2,1,1,1,WBK,3
WNT4,1,1,1,WBK,3
ZNF516,1,0,1,WK,2
ABL1,1,1,1,WBK,3
APC,1,1,0,WB,2
ATM,1,1,1,WBK,3
AXIN1,1,1,1,WBK,3
BAK1,1,1,1,WBK,3
BAX,1,1,1,WBK,3
BBC3,1,1,1,WBK,3
BCL6,1,1,1,WBK,3
BIK,1,1,0,WB,2
CAT,1,1,1,WBK,3
CCNG2,1,1,1,WBK,3
CDC42,1,1,1,WBK,3
CDKN2A,1,1,1,WBK,3
DVL1,1,1,1,WBK,3
DVL2,1,1,0,WB,2
DVL3,1,1,0,WB,2
ERBB2,1,1,1,WBK,3
FOSL1,1,1,1,WBK,3
FRAT1,1,1,0,WB,2
HMGB1,1,1,1,WBK,3
LDLR,1,1,1,WBK,3
LEF1,1,1,1,WBK,3
MLKL,1,1,1,WBK,3
NFKB2,1,1,1,WBK,3
PDK1,1,1,1,WBK,3
PIK3C2B,1,1,0,WB,2
PLAU,1,1,1,WBK,3
PMAIP1,1,1,1,WBK,3
RAC2,1,1,0,WB,2
RAC3,1,1,0,WB,2
RHOA,1,1,1,WBK,3
SMAD3,1,1,1,WBK,3
SMAD4,1,1,1,WBK,3
SOD2,1,1,1,WBK,3
TCF7,1,1,1,WBK,3
TCF7L1,1,1,0,WB,2
TCF7L2,1,1,0,WB,2
TGFB1,1,1,1,WBK,3
TP73,1,1,1,WBK,3
WNT1,1,1,0,WB,2
WNT10A,1,1,0,WB,2
WNT10B,1,1,0,WB,2
WNT11,1,1,1,WBK,3
WNT16,1,1,1,WBK,3
WNT2,1,1,0,WB,2
WNT2B,1,1,0,WB,2
WNT3,1,1,1,WBK,3
WNT3A,1,1,0,WB,2
WNT5A,1,1,1,WBK,3
WNT5B,1,1,0,WB,2
WNT6,1,1,0,WB,2
WNT7A,1,1,0,WB,2
WNT7B,1,1,0,WB,2
AGPAT2,1,1,0,WB,2
AGT,1,1,1,WBK,3
AHR,1,1,1,WBK,3
ASIP,1,1,1,WBK,3
BMP1,1,1,0,WB,2
BMP2,1,1,1,WBK,3
BMP3,1,1,0,WB,2
BMP4,1,1,1,WBK,3
BORCS8-MEF2B,1,0,0,W,1
BSCL2,1,1,0,WB,2
CEBPA,1,1,1,WBK,3
CEBPB,1,1,1,WBK,3
CEBPD,1,1,0,WB,2
CELF1,1,1,0,WB,2
CFD,1,1,0,WB,2
CISD1,1,1,0,WB,2
CNTFR,1,1,0,WB,2
CYP26A1,1,1,0,WB,2
CYP26B1,1,1,0,WB,2
DDIT3,1,1,1,WBK,3
DLK1,1,1,0,WB,2
E2F1,1,1,1,WBK,3
E2F4,1,1,1,WBK,3
EBF1,1,1,0,WB,2
EGR2,1,1,1,WBK,3
EPAS1,1,1,1,WBK,3
FAS,1,1,1,WBK,3
FOXC2,1,1,0,WB,2
FRZB,1,1,1,WBK,3
FZD1,1,1,0,WB,2
GADD45A,1,1,0,WB,2
GADD45B,1,1,0,WB,2
GATA2,1,1,0,WB,2
GATA3,1,1,0,WB,2
GATA4,1,1,1,WBK,3
GDF10,1,1,0,WB,2
GTF3A,1,1,0,WB,2
HIF1A,1,1,1,WBK,3
HMGA1,1,1,0,WB,2
HNF1A,1,1,1,WBK,3
ID3,1,1,0,WB,2
IL6ST,1,1,1,WBK,3
KLF15,1,1,0,WB,2
KLF5,1,1,0,WB,2
KLF6,1,1,0,WB,2
KLF7,1,1,0,WB,2
LEP,1,1,1,WBK,3
LIF,1,1,1,WBK,3
LIFR,1,1,0,WB,2
LIPE,1,1,1,WBK,3
LMNA,1,1,0,WB,2
LPIN1,1,1,1,WBK,3
LPIN2,1,1,0,WB,2
LPIN3,1,1,0,WB,2
MBNL1,1,1,0,WB,2
MEF2A,1,1,1,WBK,3
MEF2C,1,1,1,WBK,3
MEF2D,1,1,0,WB,2
MIF,1,1,1,WBK,3
MIXL1,1,1,0,WB,2
"NAMPT",1,1,0,WB,2
